angDist,GaiaDR3,TIC,ra,dec,Tmag,Gmag,OID,RAJ2000,DEJ2000,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,Epoch,u_Epoch,l_Period,Period,u_Period,Sp,n_OID
0.003355,460954551847371136,251230392,43.60398878249,58.03324932682,10.679,11.1558,1544084,43.60399,58.03325,V1435 Cas,0,ELL,,11.47,,V,,,11.55,,V,2458054.82,,,1.8596,,B,
0.003741,468738819295502720,72362403,59.50719179712926,55.91543974450321,8.841,9.33252,2941382,59.50719,55.91544,Gaia DR3 468738819295502720,0,BE|GCAS|SDOR|WR,,9.3,,G,,,9.37,,G,,,,,,B,
0.003934,2067261561651899264,15072015,306.5871598825,39.6694389111,8.293,9.02631,11375,306.58716,39.66944,V0455 Cyg,0,EB/DM,,9.3,,V,,,9.77,,V,2437112.51,,,8.76573,,B2(p:e:),B
0.004176,273709611419174400,274375918,69.23145176196,53.87604051632,10.081,10.7583,3016994,69.23145,53.87604,Gaia DR3 273709611419174400,0,RS,,10.72,,G,,,10.8,,G,,,,,,B,
0.004812,468431364053011456,356024834,60.67375155018,55.16937899878,10.603,11.077,2950394,60.67375,55.16938,Gaia DR3 468431364053011456,0,E,,11.08,,G,,,11.33,,G,,,,13.272,,B,
0.005584,4100450636704695424,427260887,281.71143132472,-14.99287912339,9.751,10.0434,7174664,281.71143,-14.99288,Gaia DR3 4100450636704695424,0,BCEP,,10.02,,G,,,10.06,,G,,,,,,B,
0.006213,445040564142503040,317035155,53.50350989166,54.08236172476,11.037,11.792,2234733,53.50351,54.08236,ASASSN-V J033400.84+540456.5,0,EA,,12.8,,g,Y,,0.15,,g,2459237.744,,,4.1233,,,
0.006267,458665604854994432,264731958,34.70653802967,57.56875138352,9.956,10.246,2798990,34.70654,57.56875,Gaia DR3 458665604854994432,0,BCEP,,10.22,,G,,,10.28,,G,,,,0.212227,,B,
0.006677,3377051837600118528,429749401,94.50146185641,22.6583307106,8.355,8.61775,41524,94.50146,22.65833,NSV 2900,1,,,8.78,,V,,,9.12,,V,,,,,,B0IIIn,B
0.006845,3437721136875257472,400166377,90.95881790684167,30.16920941673321,8.939,10.8378,4419576,90.95882,30.16921,Gaia DR3 3437721136875257472,0,E,,10.81,,G,,,10.87,,G,,,,1.10949,,O,
0.007186,461382566807883136,251384128,44.67717377948024,58.791079613251775,10.083,10.6912,477436,44.67717,58.79108,NSVS 1939129,0,EA,,10.97,,V,,,11.25,,V,2451410.62,,,5.4551,,B2V:,B
0.00832,3328060034710782336,220082557,98.74812110426,11.28493795827,11.217,11.5363,2212817,98.74812,11.28494,KELT KS05C048158,0,EA,,11.64,,V,Y,,0.019,,V,2457343.689,,,2.257188,,,
0.00849,460289244232159360,251570247,45.60592366355,57.2812887194,10.609,11.2725,2860511,45.60592,57.28129,Gaia DR3 460289244232159360,0,BCEP,,11.25,,G,,,11.29,,G,,,,,,O,
0.009168,507700872817909632,12642732,33.60780750908,61.27628224769,10.682,11.3179,2792078,33.60781,61.27628,Gaia DR3 507700872817909632,0,E,,11.3,,G,,,11.37,,G,,,,3.5438,,B,
0.009404,442986916939558912,259108127,50.04742317364,52.06842173696,8.342,8.69813,2882495,50.04742,52.06842,Gaia DR3 442986916939558912,0,E,,8.67,,G,,,8.96,,G,,,,5.3281,,B,
0.009892,2015564620856737792,271653404,354.69513578332,62.04841955019,10.899,11.4668,2388398,354.69513,62.04842,Barlad V15,0,SPB:,,11.74,,V,Y,,0.06,,TESS,2459481.641,,,0.33378,,B,
0.010732,460618547964018304,450150187,42.87620828603,56.95788716921,9.925,10.4836,2846871,42.87621,56.95789,Gaia DR3 460618547964018304,0,GCAS,,10.58,,V,,,10.9,,V,,,,,,B5e,
0.010957,430491104738148992,406966772,5.722215471728497,62.24137780568222,8.085,8.08617,7076,5.72222,62.24138,V0745 Cas,0,ELL,,8.01,,V,,,8.14,,V,2448214.925,,,1.41061,,B0IV,B
0.011394,444367147631664128,72187166,59.16934697327,54.3678473718,11.056,11.8134,2938930,59.16935,54.36785,Gaia DR3 444367147631664128,0,VAR,,11.79,,G,,,11.86,,G,,,,,,O,
0.011796,5939658334096467840,236409173,251.62600628319,-47.01956207754,10.39,10.6851,103623,251.62601,-47.01956,V0900 Ara,0,BCEP,,10.86,,V,Y,,0.132,,V,2451931.286,,,0.2242077,,,B
0.011814,2016246356731137024,272629752,356.36922848112056,63.271333209731296,9.745,10.4328,8253299,356.36923,63.27133,Gaia DR3 2016246356731137024,0,BE|GCAS|SDOR|WR,,10.34,,G,,,10.49,,G,,,,,,O,
0.012164,463682577633083008,81821733,47.55359345149604,61.95136860914951,9.334,9.51171,2870122,47.5536,61.95137,Gaia DR3 463682577633083008,0,E,,9.52,,G,,,9.71,,G,,,,4.93638,,B,
0.012317,460981833479442688,251196433,43.368398489716725,58.32581667184356,9.616,9.94362,2849514,43.3684,58.32582,Gaia DR3 460981833479442688,0,BCEP,,9.92,,G,,,9.97,,G,,,,,,B,
0.01312,458457320427789824,348444452,35.28195486006,57.16678765154,9.185,9.40752,2802697,35.28196,57.16679,Gaia DR3 458457320427789824,0,DSCT|GDOR|SXPHE,,9.4,,G,,,9.42,,G,,,,3.82127,,B,
0.013524,5981851027635556864,297870134,239.90698589196,-50.43475016636,9.877,10.1831,447062,239.90698,-50.43475,GDS_J1559376-502605,0,VAR,,10.23,,r,Y,,0.19,,r,,,,,,OB-,B
0.013527,467311408386248704,390408482,43.06746282350514,62.782643528699246,9.015,9.24225,6361,43.06746,62.78264,TX Cas,0,EB/DM,,9.16,,V,,,9.8,,V,2429677.228,,,2.92687,,B0V,B
0.013626,271963002839779712,470472700,66.3627438471611,52.04378007676187,8.873,9.38498,2994689,66.36275,52.04378,Gaia DR3 271963002839779712,0,BE|GCAS|SDOR|WR,,9.37,,G,,,9.42,,G,,,,,,O,
0.013662,454771379489454464,265298333,41.68029838569,56.58253631055,10.322,10.6391,2840279,41.6803,56.58254,Gaia DR3 454771379489454464,0,BCEP,,10.61,,G,,,10.66,,G,,,,0.1147205,,B,
0.013881,509939650296461440,444752336,25.17800784463,61.21507922634,9.615,9.95185,844444,25.178,61.21508,TIC 444752336,0,DPV/ELL,,9.96,,V,,,10.21,,V,2458070.88,,,9.4394,,B2e,
0.014138,5939960081277948672,247066241,253.47745999795083,-46.0150539271827,8.537,8.54626,225577,253.47746,-46.01505,HD 152162,0,BCEP,,8.59,,V,Y,,0.066,,V,,,,0.1657833,,B2III,B
0.014454,461506747202125696,251457030,44.9799106966,59.45854600062,9.849,10.3107,2857506,44.97991,59.45855,Gaia DR3 461506747202125696,0,BE|GCAS|SDOR|WR,,10.25,,G,,,10.4,,G,,,,,,B,
0.014528,456946076053645696,374982274,32.212574696387605,56.08689725610535,9.497,9.54199,2783271,32.21258,56.0869,Gaia DR3 456946076053645696,0,BCEP,,9.52,,G,,,9.56,,G,,,,0.20414,,B,
0.01472,208420198645230208,368184354,78.85856965665,44.56719591849,10.494,10.6869,4216701,78.85857,44.5672,Gaia DR3 208420198645230208,0,BE|GCAS|SDOR|WR,,10.58,,G,,,10.73,,G,,,,,,B,
0.015311,458371558521435904,264730031,34.67821444488,57.07263700477,10.234,10.439,2798821,34.67822,57.07264,Gaia DR3 458371558521435904,0,VAR,,10.41,,G,,,10.52,,G,,,,0.1089071,,B,
0.01571,457785175221622144,245465292,38.92847082593,56.73918565973,10.393,10.7554,2824724,38.92847,56.73919,Gaia DR3 457785175221622144,0,DSCT|GDOR|SXPHE,,10.72,,G,,,10.77,,G,,,,5.9167,,B,
0.015921,532358829818405632,352512520,19.81295755679,69.34990054851,10.314,10.5643,2692677,19.81297,69.3499,Gaia DR3 532358829818405632,0,DSCT|GDOR|SXPHE,,10.54,,G,,,10.6,,G,,,,0.88617,,B,
0.016497,413396722579537408,399014769,20.210883867560508,57.43858682111975,9.817,10.0821,2695650,20.21089,57.43859,Gaia DR3 413396722579537408,0,BE|GCAS|SDOR|WR,,10.03,,G,,,10.33,,G,,,,,,,
0.016543,2010285491880986112,314951512,346.79198165636,58.55419147277,8.597,9.36547,6353,346.79199,58.55419,SW Cas,0,DCEP,,9.32,,V,,,10.01,,V,2442989.59,,,5.44095,,F6-G2,B
0.016612,455390949988697984,250722653,33.46595809020978,53.91458447520403,8.983,8.91481,25877,33.46596,53.91458,V0353 Per,0,BCEP,,8.85,,B,,,8.91,,B,,,,0.3908,,B0.5IV,B
0.016666,511903824736087424,10800647,29.24237531670857,63.30662587626514,10.517,10.7427,729400,29.24238,63.30663,ASASSN-V J015658.17+631823.9,0,EA,,10.82,,V,,,11.23,,V,2457327.783,,,1.9699,,,
