angDist,ID,database,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,sector_list,filenames
0.201345,OGLE-LMC-LPV-12396,3,75.44458333333333,-69.11502777777777,30726507,75.4446767046,-69.11498283218,0,,105-006488,05014670-6906540,0,J050146.72-690653.9,4655290180050563456,0,0,STAR,tmgaia2,tmgaia2,2.003,0.054,0.166,0.066,gaia2,-0.045,0.0333,15.337,0.137,13.8276,0.006092,12.542,0.009,rered,gaia2,3760.0,124.0,,,,,75.031,,,,8327.7,1294.18,0.4871,,1169.56,1418.8,75.44470089778,-69.11498211831,-79.76394167120915,-34.897328893697825,"[61, 63, 64, 65, 67, 69, 66]","['hlsp_tess-spoc_tess_phot_0000000030726507-s0061_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030726507-s0063_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030726507-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030726507-s0065_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030726507-s0067_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030726507-s0069_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030726507-s0066_tess_v1_lc.fits']"
0.0673,OGLE-LMC-LPV-01700,3,70.57912499999999,-69.34938888888888,294665029,70.57909510321,-69.34937345157,0,,104-004413,04421899-6920577,0,J044218.99-692057.7,4656160306000923648,32263085,0,STAR,tmgaia2,tmgaia2,2.092,0.094,-0.298,0.123,gaia2,-0.0203,0.0591,15.693,0.206,13.9437,0.016249,12.563,0.017,rered,gaia2,3040.0,128.0,,,,,,,,,5444.48,1041.53,0.1349,0.0,916.34,1166.72,70.57912063753,-69.34937473391,-78.82933379944562,-36.46364729414114,"[61, 63, 64, 65, 67, 68, 69, 66]","['hlsp_tess-spoc_tess_phot_0000000294665029-s0061_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000294665029-s0063_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000294665029-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000294665029-s0065_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000294665029-s0067_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000294665029-s0068_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000294665029-s0069_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000294665029-s0066_tess_v1_lc.fits']"
0.090987,OGLE-LMC-LPV-11379,3,75.19429166666666,-69.06780555555555,30636617,75.19432633294,-69.06778352398,0,,105-006294,05004662-6904040,0,J050046.62-690404.0,4655293134989278464,0,0,STAR,tmgaia2,tmgaia2,2.079,0.07,0.189,0.087,gaia2,-0.1685,0.0427,15.253,0.103,13.9781,0.005587,12.7,0.008,rered,gaia2,3631.0,124.0,,,,,72.719,,,,8819.65,1415.14,0.3798,,1287.72,1542.55,75.19435138643,-69.06778271132,-79.7899344562769,-34.99609466504842,"[61, 63, 64, 65, 69]","['hlsp_tess-spoc_tess_phot_0000000030636617-s0061_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030636617-s0063_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030636617-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030636617-s0065_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000030636617-s0069_tess_v1_lc.fits']"
0.058746,OGLE-LMC-LPV-88458,3,88.85058333333333,-69.58727777777777,31414244,88.85062202862,-69.58726860477,0,,103-019006,05552414-6935142,0,J055524.15-693514.2,4657455839941008000,33108357,0,STAR,tmgaia2,tmgaia2,1.728,0.087,0.912,0.127,gaia2,-0.2124,0.0574,16.186,0.16,14.0912,0.005924,12.813,0.008,rered,gaia2,3227.0,124.0,,,,,,,,,7857.41,1460.47,0.1244,0.0,1310.74,1610.21,88.85064335972,-69.58726467976,-80.110393289532,-30.16499933839008,"[61, 63, 64, 65, 67, 68, 69]","['hlsp_tess-spoc_tess_phot_0000000031414244-s0061_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000031414244-s0063_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000031414244-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000031414244-s0065_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000031414244-s0067_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000031414244-s0068_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000031414244-s0069_tess_v1_lc.fits']"
0.06827,OGLE-BLG-ECL-138753,4,267.86775,-29.876472222222223,130150682,267.86774580316,-29.87645361081,0,,301-144819,17512823-2952356,0,,4056443366649948160,0,0,STAR,tmgaia2,tmgaia2,0.499,0.215,-5.161,0.153,gaia2,0.7214,0.0597,16.006,0.15,15.6845,0.00087,14.95,0.016,rered,spect,6075.0,86.0,4.3065,,0.28,0.1,1.242,,1.14,,1344.97,111.665,0.3932,,,,267.86774828204,-29.87647583264,-0.1485012606627836,-1.5766584706818572,[39],['hlsp_tess-spoc_tess_phot_0000000130150682-s0039_tess_v1_lc.fits']
0.164691,OGLE-GD-LPV-018489,4,277.92125,-9.141805555555557,215675516,277.92126351573,-9.14184931365,0,,,18314110-0908305,0,J183141.10-090830.6,4156335720319666816,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.7685,0.088683,9.633,1.0,jhk,,,,,,,,,,,,,,,,,,277.92126351573,-9.14184931365,22.55318644990419,0.1829187719984134,[80],['hlsp_tess-spoc_tess_phot_0000000215675516-s0080_tess_v1_lc.fits']
0.114644,OGLE-GD-LPV-002414,4,182.259875,-63.72025,381038804,182.25980554158,-63.72025826956,0,,,12090237-6343129,0,J120902.35-634312.9,6054086227173392512,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.3738,0.024987,9.396,1.0,jhk,,,,,,,,,,,,,,,,,,182.25980554158,-63.72025826956,-61.74063094786232,-1.2338096003185175,"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000381038804-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000381038804-s0065_tess_v1_lc.fits']"
0.183969,OGLE-GD-LPV-019857,4,280.256,-2.20675,180119596,280.25596358874,-2.20678588397,0,,,18410143-0212243,0,J184101.46-021224.7,4259520965276030080,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,12.9583,0.035241,7.981,1.0,jhk,,,,,,,,,,,,,,,,,,280.25596358874,-2.20678588397,29.780163466386945,1.3086694834586758,[80],['hlsp_tess-spoc_tess_phot_0000000180119596-s0080_tess_v1_lc.fits']
0.118529,OGLE-GD-LPV-021904,4,282.7250416666666,-0.7689166666666667,183482805,282.72503936112,-0.7689495107,0,,,18505400-0046082,0,J185054.02-004608.0,4266063716629415808,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.3798,0.098824,9.8,1.0,jhk,,,,,,,,,,,,,,,,,,282.72503936112,-0.7689495107,32.186296865890455,-0.2309679002944682,[80],['hlsp_tess-spoc_tess_phot_0000000183482805-s0080_tess_v1_lc.fits']
0.126117,OGLE-GD-LPV-023510,4,285.18091666666663,9.332055555555556,222767597,285.18095060503,9.33204527255,0,,,19004343+0919553,0,J190043.41+091955.2,4310637368234584704,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.1182,0.030447,10.416,1.0,jhk,,,,,,,,,,,,,,,,,,285.18095060503,9.33204527255,42.29337227933088,2.1988656200695385,[80],['hlsp_tess-spoc_tess_phot_0000000222767597-s0080_tess_v1_lc.fits']
