angDist,GaiaDR3,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,num_counterparts,TIC_multiple_counterpart,sector_list,filenames,TPfPloter,sector_TPfPloter,delta
0.000461,468477719642640128,59.92308424223,55.31385823222,72532153,59.9230842452,55.3138583603,0,3721-00028-1,727-029267,03594153+5518498,0,J035941.53+551849.8,468477719642640128,56887445,0,STAR,tmgaia2,tmgaia2,0.011,0.063,-0.038,0.049,gaia2,0.1795,0.0341,11.28,0.017,11.1236,0.000829,10.634,0.028,rered,gaia2,9287.0,123.0,,,,,25.75,,,,4597.48,742.055,0.7446,0.0331,634.46,849.65,59.9230843309,55.3138581961,147.56570320361402,1.715890291474471,1,[72532153],[59],['hlsp_tess-spoc_tess_phot_0000000072532153-s0059_tess_v1_lc.fits'],Gaia_TIC72532153_S59.dat,59,-5.711811000000001
0.001018,468484385432597248,60.22664514023,55.22779984993,72701456,60.22664545923,55.22779963333,0,3722-00094-1,727-029408,04005440+5513402,0,J040054.39+551340.0,468484385432597248,56887674,0,STAR,tmgaia2,tmgaia2,-0.034,0.052,0.043,0.045,gaia2,0.1937,0.0361,10.361,0.007,9.92829,0.00076,9.268,0.023,rered,gaia2,8314.0,123.0,,,,,58.282,,,,4331.22,700.845,0.8823,0.0287,598.48,803.21,60.22664520582,55.22779981888,147.7529314509046,1.7637590998464432,1,[72701456],[59],['hlsp_tess-spoc_tess_phot_0000000072701456-s0059_tess_v1_lc.fits'],Gaia_TIC72701456_S59.dat,59,-5.799406000000001
0.001648,5960360660577319040,260.58604658285,-39.85362984935,198063277,260.58604609886,-39.85362958191,0,7887-00520-1,251-115007,17222064-3951131,0,J172220.65-395113.0,5960360660577319040,19144285,0,STAR,tmgaia2,tmgaia2,0.09,0.095,-0.05,0.061,gaia2,0.5851,0.0469,10.05,0.005,9.78647,0.001481,9.415,0.026,rered,gaia2,8777.0,133.0,,,,,13.601,,,,1637.44,129.495,0.508,0.032,119.52,139.47,260.58604660476,-39.85362979561,-11.76830596204611,-1.905143888091902,1,[198063277],[66],['hlsp_tess-spoc_tess_phot_0000000198063277-s0066_tess_v1_lc.fits'],Gaia_TIC198063277_S66.dat,66,-5.627733000000001
0.001956,468462773152315264,59.56303261355,54.98806192436,72359979,59.56303227758,54.98806243235,0,3721-00397-1,725-031133,03581512+5459169,0,J035815.12+545917.0,468462773152315264,56171553,0,STAR,tmgaia2,tmgaia2,0.056,0.054,-0.119,0.042,gaia2,0.1679,0.0315,11.723,0.024,11.3338,0.000837,10.743,0.02,rered,gaia2,9128.0,123.0,,,,,29.903,,,,4845.84,745.37,0.8816,0.0228,642.41,848.33,59.56303269785,54.98806192104,147.6210880287511,1.33456930110329,1,[72359979],[59],['hlsp_tess-spoc_tess_phot_0000000072359979-s0059_tess_v1_lc.fits'],Gaia_TIC72359979_S59.dat,59,-5.115147
0.001976,469666600942447360,59.87033337902319,57.11799734851306,72613377,59.87033436624,57.11799723053,0,3725-00693-1,736-035065,03592888+5707048,0,J035928.87+570704.8,469666600942447360,57249183,0,STAR,tmgaia2,tmgaia2,-0.114,0.056,0.019,0.053,gaia2,0.1997,0.0411,10.398,0.007,10.1914,0.000363,9.988,0.095,rered,gaia2,11429.0,127.0,,,,,20.065,,,,4218.21,756.59,0.4551,0.1107,635.47,877.71,59.87033346566,57.11799731027,146.36632003165178,3.064899933082488,1,[72613377],[59],['hlsp_tess-spoc_tess_phot_0000000072613377-s0059_tess_v1_lc.fits'],Gaia_TIC72613377_S59.dat,59,-4.211145
0.002183,468502561734102400,60.17746149666783,55.48420982202801,72700750,60.17746200641,55.48421035534,18727,3722-00589-1,728-030968,04004259+5529032,0,J040042.58+552903.1,468502561734102400,56887640,0,STAR,tmgaia2,tmgaia2,-0.056,0.07,-0.126,0.052,gaia2,0.1757,0.0384,9.29,0.03,8.99365,0.000618,8.411,0.034,rered,gaia2,8200.0,123.0,,,,,82.458,,,,4629.41,835.905,0.7456,0.0429,703.19,968.62,60.17746158386,55.4842098137,147.563790486512,1.9392323936173976,1,[72700750],[59],['hlsp_tess-spoc_tess_phot_0000000072700750-s0059_tess_v1_lc.fits'],Gaia_TIC72700750_S59.dat,59,-5.615588000000001
0.002319,206886139406466816,74.82596289321,45.94732676698,367942456,74.82596328466,45.947326183,0,3344-00329-1,680-032224,04591822+4556504,0,J045918.22+455650.4,206886139406466816,54785433,0,STAR,tmgaia2,tmgaia2,-0.055,0.089,0.122,0.073,gaia2,0.2487,0.0578,11.329,0.033,11.0855,0.001075,10.294,0.048,rered,spect,7169.5,63.3,,,-0.016,0.061,24.369,,,,3516.94,770.195,0.5755,,,,74.82596294622,45.94732670739,160.82263351332816,2.113273698872925,1,[367942456],"[59, 73]","['hlsp_tess-spoc_tess_phot_0000000367942456-s0059_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000367942456-s0073_tess_v1_lc.fits']",Gaia_TIC367942456_S59.dat,59,-4.057053999999999
0.002324,466125108354725248,45.08758649070459,60.57300317826341,390889455,45.08758705571,60.57300259534,0,4048-00848-1,753-028784,03002101+6034228,0,J030021.03+603422.8,466125108354725248,58282308,0,STAR,tmgaia2,tmgaia2,-0.045,0.04,0.129,0.061,gaia2,0.4609,0.0329,10.916,0.009,10.7593,0.000377,10.425,0.025,rered,gaia2,9943.0,123.0,,,,,10.033,,,,2044.31,141.115,0.5704,0.0298,131.63,150.6,45.08758665754,60.57300314872,138.12728402165115,1.5619971375989443,1,[390889455],"[58, 59]","['hlsp_tess-spoc_tess_phot_0000000390889455-s0058_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000390889455-s0059_tess_v1_lc.fits']",Gaia_TIC390889455_S58.dat,58,-3.4484189999999995
0.002595,257091214721965824,65.63261063702,46.85304309546,27347087,65.63261005206,46.85304369524,0,3329-01366-1,685-029180,04223182+4651110,0,J042231.83+465111.0,257091214720568832,53500638,0,STAR,tmgaia2,tmgaia2,0.102,0.117,-0.129,0.075,gaia2,0.2746,0.0601,11.649,0.019,11.316,0.001427,10.75,0.039,rered,gaia2,8100.0,123.0,,,,,18.68,,,,3168.05,630.605,0.7016,0.0499,520.19,741.02,65.63261069314,46.85304314157,155.94800671668787,-2.03571685929702,1,[27347087],[59],['hlsp_tess-spoc_tess_phot_0000000027347087-s0059_tess_v1_lc.fits'],Gaia_TIC27347087_S59.dat,59,-5.582186
0.002664,468600590062865408,61.24465879842796,55.90924999545864,72943905,61.24466010951,55.90925008353,0,3722-00954-1,730-031372,04045872+5554331,0,J040458.70+555433.4,468600585766078336,57253582,0,STAR,tmgaia2,tmgaia2,-0.155,0.057,-0.022,0.051,gaia2,0.0463,0.0436,10.984,0.011,10.7632,0.000456,10.439,0.031,rered,gaia2,,,,,,,,,,,7644.44,1933.23,0.7983,0.0343,1597.03,2269.43,61.24465891904,55.90924998829,147.73488858616489,2.655575303605372,1,[72943905],[59],['hlsp_tess-spoc_tess_phot_0000000072943905-s0059_tess_v1_lc.fits'],Gaia_TIC72943905_S59.dat,59,-4.306364
