TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
10826277,7,LS,4.209751611054986,0.7753465176802751,0.7746939956625131,4.2187674901797365,0.6018124893307686,0.0007414099,0.8890546,0.06525713,0.016924066,2.218551e-05,0.00010807989,0.0009502884,0.026942164,CEP,0.988,8575,CEP,CEP,2
37169108,6,LS,4.723759498434281,0.8077805168873254,0.8033759555390099,4.28964708167428,0.4993446543812752,6.562855e-06,0.0126871085,0.98154634,0.001098027,3.5445083e-07,1.2696727e-06,0.004068472,0.00059191935,CEP,1.0,8602,CEP,CEP,2
141134087,8,LS,7.0895205950221385,0.6078687136428164,0.4939163936408241,3.4536211034213613,0.4603259265422821,0.0038189162,0.060505167,0.04288208,0.26286802,0.0001293497,0.057581678,0.5621662,0.010048511,CEP,0.81,8564,CEP,CEP,2
141134087,9,LS,7.486884807988402,0.8112551524199937,0.7887581668490335,4.275079919128287,0.4476663097739219,3.673605e-05,0.0014017537,0.9823637,0.004276773,3.1072564e-06,1.8046068e-05,0.011459329,0.00044049748,CEP,1.0,8571,CEP,CEP,2
177932603,7,LS,3.299502094736688,0.7987088527753622,0.7986847376104333,4.303350422528506,0.4914037883281708,0.0006284723,0.095986106,0.36533087,0.51945037,4.2489723e-05,6.3562795e-05,0.0011357167,0.017362442,CEP,0.968,8551,CEP,CEP,2
181446812,27,LS,3.580516959228915,0.1280132470712194,0.1236223704192488,3.482960077387524,0.1118951756507158,0.0009062419,0.006821347,0.022758191,0.0019718052,7.357513e-05,0.94003034,0.014775015,0.012663526,CEP,0.86,8495,CEP,CEP,2
203433082,80,LS,7.345681066279133,0.6654612822508273,0.6358301715606143,4.028625748484878,0.1025119982659816,3.1622426e-06,0.0012829935,0.98554987,4.488327e-05,4.7804026e-12,0.002488411,9.950941e-07,0.010629727,CEP,0.922,1314,CEP,CEP,2
207042079,6,LS,2.9363865945785577,0.2112736313192085,0.1939907932251954,3.2649526141482283,0.6109922751784325,0.008096955,0.0035777506,0.88381827,0.023290725,0.0016213474,0.06494587,0.0039563505,0.010692692,CEP,0.882,8559,CEP,CEP,2
234073331,6,LS,1.234624788627382,0.1797781636827237,0.1795167944900524,4.264074046604833,0.8188597857952118,2.0866724e-05,0.0043919156,0.9465916,0.0004514915,1.6277342e-07,0.026040554,0.0074546416,0.015048755,CEP,0.984,8545,CEP,CEP,2
407704687,6,LS,4.938516519336428,0.5747914871736811,0.5638818167458434,4.420103443667765,1.2338736653327942,2.0287346e-06,0.0021243386,0.070369944,0.010107101,2.5118595e-07,0.00036485447,0.9169157,0.00011569883,CEP,0.948,8607,CEP,CEP,2
436530385,6,LS,2.716129864267572,0.1569806166828748,0.1516074197485593,4.116760077394488,1.2077197432518003,0.09624861,0.02403886,0.5862729,0.07994626,0.006185503,0.17928198,0.003962474,0.02406345,CEP,0.678,8582,Unconstrained,CEP,2
436530385,72,LS,3.902187589161183,0.7785298134058456,0.7732989205958768,4.072278317199974,0.6394144147634506,0.00022133034,0.22722022,0.4743697,0.251483,1.5398236e-05,0.00013860634,0.019221224,0.027330514,CEP,0.97,8589,CEP,CEP,2
460416931,10,LS,5.380442734340944,0.8440914738606828,0.8434000329990768,4.287641358848585,0.595507025718689,0.00046620026,0.23538768,0.67912525,0.07985373,5.5145624e-06,3.5024004e-05,0.0014530019,0.00367361,CEP,0.98,8618,CEP,CEP,2
464936311,10,LS,5.156296664120248,0.7290486831252947,0.7285037584291582,4.139811392450628,1.092202514410019,0.0003533851,0.0047231065,0.0018807083,0.0011502494,2.2749887e-07,7.779705e-06,0.99187076,1.3712409e-05,CEP,0.956,8612,CEP,CEP,2
