TIC,sector,source,per,power,prominence,width,amplitude,brf_class,brf_prob,instability,sigma_brf,entropy,sigma_top,brf_class_raw,cube_idx,sector_class,final_class_tic,decision_step
13088285,58.0,ACF,1.8217712330301763,0.9048876415441002,1.7738069053196952,389.6845697197838,0.0791780371218919,CEP,0.843,0.0,0.075340337137552,1.1783409,0.36714613,CEP,13764.0,CEP,CEP,2
13217180,84.0,LS,3.301009627748265,0.1853687103149119,0.1848353610570394,4.679892699459742,0.0803299155086278,CEP,0.801,0.0,0.1751609134481777,1.3657782,0.3485762,CEP,112572.0,CEP,CEP,2
13418870,41.0,LS,6.326114816851194,0.9422540629042891,0.9414686417409288,4.323224002506322,0.0702253496274352,CEP,0.52,0.0,0.087675081978861,0.07388255,0.038844634,CEP,104898.0,Unconstrained,CEP,2
13418870,75.0,LS,6.293649012087599,0.945688863262222,0.9451188363928976,4.478329707424564,0.0727553851902484,CEP,0.529,0.04,0.1156721989070839,0.25479352,0.14648704,CEP,104901.0,Unconstrained,CEP,2
13418870,81.0,LS,6.049659319442381,0.9438477710149404,0.9428223624748072,4.385935708087345,0.0736772129312157,CEP,0.529,0.02,0.0856969637735199,0.30117112,0.15711205,CEP,104903.0,Unconstrained,CEP,2
13418870,82.0,LS,6.154614514202011,0.9731769515726236,0.9711324069585088,4.534114820431569,0.0722723314538598,CEP,0.878,0.0,0.0383721565721813,0.36090538,0.12391122,CEP,104905.0,CEP,CEP,2
14842608,14.0,LS,2.392146573771573,0.516250105281642,0.5155786688378595,4.199871157435609,0.2218184433877468,CEP,0.791,0.08,0.1655612949937273,1.5759687,0.248694,CEP,126246.0,Unconstrained,CEP,2
14842608,15.0,LS,2.3914655893176717,0.699119135975077,0.6986142327097223,3.876464765508445,0.202341116964817,CEP,0.896,0.0,0.1083632114695757,1.174999,0.33724418,CEP,126240.0,CEP,CEP,2
14842608,41.0,LS,2.3729118557712696,0.567174686462061,0.5659560553037698,4.547256857580578,0.3865731507539749,CEP,0.683,0.08,0.2054728828823891,1.0980395,0.31095856,CEP,126261.0,Unconstrained,CEP,2
14842608,55.0,LS,2.3818150304854457,0.7170764095703016,0.7157723522029251,4.535776166161668,0.2822578884661197,CEP,0.581,0.0,0.0939489563539691,0.20505834,0.14020537,CEP,126268.0,Unconstrained,CEP,2
14842608,82.0,LS,2.393456180526824,0.8382231535771308,0.837929528303286,4.620335472893203,0.1845735497772693,CEP,0.681,0.0,0.1211334800953064,0.9037696,0.3501529,CEP,126275.0,Unconstrained,CEP,2
76734245,71.0,ACF,1.4931694814504226,0.8348162990517394,1.5050162209358913,288.22359788286496,0.3380464762449264,CEP,0.89,0.0,0.120169773237699,1.0565308,0.36207792,CEP,16223.0,CEP,CEP,2
76734245,72.0,LS,1.4960109332599534,0.9377732898538786,0.9377617389844596,4.1911764542455785,0.3376251831650734,CEP,0.953,0.0,0.0556430912153521,0.577835,0.24356866,CEP,16226.0,CEP,CEP,2
95665973,7.0,LS,4.209744311091732,0.5531239017475457,0.5432423107653992,4.584138844054905,0.6980123370885849,CEP,0.82,0.0,0.0830003759027632,1.1069648,0.38203976,CEP,28502.0,CEP,CEP,2
140091538,61.0,LS,5.518668864184003,0.8051716169612815,0.8032249048041831,4.417950717706844,0.6279673427343369,CEP,0.981,0.0,0.042398509407761,0.7712531,0.3443953,CEP,65624.0,CEP,CEP,2
141457686,61.0,LS,4.674547321029212,0.955872884105092,0.9557627303587336,4.324633713171352,0.2098987251520156,CEP,0.939,0.0,0.1447115530978781,0.40998846,0.24581039,CEP,58689.0,CEP,CEP,2
