TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
37315597,6,LS,0.1011606545342592,0.8853434046088919,0.8853433896772926,4.409004032392204,0.0831857044249773,0.00039361353,0.6379496,0.30366567,0.021348469,2.5946168e-08,0.0019699924,0.0005354172,0.034137275,DST,0.898,7048,DST,DST,2
56409473,8,LS,0.0601220132639944,0.2488206535899004,0.2035353444301247,3.0466032685133086,0.1130247861146926,2.7541864e-06,7.267576e-06,0.020600244,0.72987944,7.0540786e-08,0.20930797,0.03611575,0.004086521,DST,0.998,5075,DST,DST,2
56409473,35,LS,0.0603107559540493,0.6783515046136833,0.6783515011831844,4.001607360458593,0.1290270499885082,8.370341e-08,2.6785946e-08,0.0013921891,0.9761627,2.7404906e-11,9.087485e-05,0.02235407,6.3789905e-08,DST,1.0,5093,DST,DST,2
78850814,9,LS,0.109624142213743,0.9273938118828108,0.927393724088299,4.321793103886876,0.1614081300795078,6.9135145e-05,0.88262767,0.060397893,0.010475027,1.6826166e-07,0.00017769694,0.03877066,0.0074817427,DST,0.818,5118,DST,DST,2
78850814,35,LS,0.1096674713349162,0.9266773335431168,0.9266773001782452,3.950234533032244,0.2038155868649482,2.1282451e-06,0.001223597,0.9872515,0.010302418,4.7241615e-09,5.440422e-07,0.001211283,8.585764e-06,DST,0.872,5142,DST,DST,2
78850814,36,LS,0.109653104630018,0.9303829904409392,0.9303829855800668,4.2442327944713725,0.1816928572952747,2.3337944e-07,0.0010059965,0.99133366,0.0069546904,1.0113294e-08,6.01177e-08,0.0006704447,3.4961406e-05,DST,0.812,5165,DST,DST,2
82893147,8,LS,0.1312868711563862,0.5987362927810546,0.5987359527267057,3.868386469798452,0.3559567034244537,7.471691e-05,2.0005722e-07,0.0014733027,0.9589241,1.3445133e-06,0.00044393,0.03908226,1.1343308e-07,DST,1.0,7964,DST,DST,2
82893147,35,LS,0.131373050273494,0.9044199646924176,0.9044198446536252,4.022518444340562,0.1803232170641422,0.00016463509,0.0017849815,0.0121793905,0.9712323,1.8353413e-06,0.00023967358,0.013496755,0.0009003639,DST,1.0,7982,DST,DST,2
92017453,6,LS,0.1134077960812735,0.6048543127852355,0.604853572966784,4.357385914732845,0.4657097905874252,3.3566266e-06,1.5868862e-08,0.015775952,0.9327313,9.105949e-08,0.005423548,0.046063304,2.5222605e-06,DST,1.0,7091,DST,DST,2
92017453,33,LS,0.1133709627749621,0.9482971170613672,0.9482970976456612,4.307930792285788,0.1501437649130821,6.939252e-07,1.081739e-06,0.036929227,0.9273693,1.3818332e-09,1.180464e-06,0.03569377,4.746901e-06,DST,1.0,7106,DST,DST,2
