TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
14655089,80,LS,2.6983876509120357,0.0386773677613103,0.0238183148033769,3.6698657102662153,0.1631911285221576,0.0006297781,2.0850747e-08,2.6773790000000003e-17,1.2333681e-25,0.99875987,1.3584665e-07,4.4794637e-22,0.0006101853,E,1.0,2140,E,E,2
15121710,80,LS,2.698387155790544,0.0453626065217194,0.0274816910071624,3.7248465090829583,0.2075237222015857,0.000114113755,4.8322967e-08,4.830674e-16,1.4454639999999998e-26,0.9955363,2.525116e-07,3.9178415e-22,0.004349238,E,0.998,4347,E,E,2
17218985,80,LS,0.9794160499431942,0.0233206762545623,0.0227598996047422,4.998486815188841,0.0859323609620332,0.0012059688,1.3355185e-05,6.295566e-12,1.4678281e-11,0.9982052,8.2336264e-05,9.106814e-15,0.0004931293,E,0.98,4620,E,E,2
30468522,61,LS,1.4403966355351572,0.0229959818959077,0.0219254642160895,3.4970688914968804,0.0541763519868254,0.00036689412,6.663377e-10,8.538252e-15,4.5737666e-10,0.9983022,3.046523e-07,9.6699275e-18,0.0013305239,E,0.998,7343,E,E,2
30468522,62,ACF,0.4166651255036413,0.057986776113633,0.0296172541138195,1.6352875057641256,0.0401443056762218,0.008517606,2.5806787e-14,5.636347e-13,3.067986e-08,0.9913935,1.817824e-10,1.1265934e-11,8.887591e-05,E,0.94,7412,E,E,2
30468522,63,ACF,0.1041667789695566,0.1981782937069284,0.0117002884315255,0.9751778300770866,0.0408925581723451,0.001265375,3.6835373e-09,4.922292e-07,0.9398389,0.034830213,0.0042925607,0.012849693,0.00692276,DST,0.904,7490,DST,E,2
30468522,64,ACF,0.0092593089357251,0.1298468270651683,0.0116398101572025,1.2050273730189125,0.0297966809011995,0.0059413477,3.6626848e-06,0.8120945,0.11767871,0.0011650708,0.00021343908,0.01941339,0.04348996,DST,0.902,7561,DST,E,2
30468522,65,LS,6.169035547131482,0.1531990222915885,0.0506972052818439,3.2314395705526917,0.0789681635797023,0.00032001024,5.819615e-09,2.8416981e-15,5.9237008e-12,0.99962103,3.1985015e-05,8.35827e-15,2.6950398e-05,E,0.97,7590,E,E,2
30468522,67,LS,1.6353994571141577,0.0385766902778416,0.0364488891988184,4.377191356001987,0.079629523679614,4.9683593e-05,5.996503e-06,9.523155e-05,0.6442658,9.947298e-06,0.3521141,0.00081931235,0.002639969,CEP,0.478,7657,Unconstrained,E,2
30468522,68,ACF,0.1365747636323249,0.709246691501708,0.0003826358915861,0.546626975786694,0.1293296087533235,0.024189673,1.1369955e-07,0.0023296615,0.6996732,0.0014312894,0.00035122622,0.0032887917,0.26873612,DST,0.514,7735,Unconstrained,E,2
30468522,68,LS,2.7032034458853658,0.1502031248964326,0.1370953152015609,3.809841244968148,0.1293296087533235,0.6335931,1.6569418e-09,5.562436e-07,0.36587462,0.0004935465,9.968928e-07,1.5202607e-05,2.206263e-05,E,0.504,7704,Unconstrained,E,2
45589186,66,LS,2.305157278593569,0.020730237350222,0.0144151172009989,2.933950474011766,0.122892390936613,0.000385031,4.4859544e-08,9.482605e-13,2.3031716e-23,0.9990331,3.7961962e-07,3.8606123999999997e-19,0.0005814287,E,1.0,441,E,E,2
47028374,66,LS,2.008837727646331,0.021402966210886,0.0150309906664308,3.5170010668375866,0.0940780527889728,0.0004032068,8.225371e-08,1.2971866e-13,2.6485437e-24,0.9931913,5.4033893e-07,1.5684892e-20,0.006404866,E,0.998,6215,E,E,2
98243339,65,LS,4.972375220199054,0.0704306177005384,0.0545512418771628,2.510909347194243,0.0417522760108113,0.00031706615,5.8358465e-09,9.207278e-12,7.8462525e-09,0.99956244,1.3179979e-05,4.4555665e-13,0.00010723104,E,0.922,4155,E,E,2
108810330,80,LS,1.8364223142182812,0.0204748618591971,0.0040268376527522,5.203622825263274,0.0826191063970327,9.0006324e-05,6.859308e-12,6.451513e-14,1.3364624e-07,0.9997627,1.7847367e-07,3.090018e-15,0.0001470533,E,0.996,4945,E,E,2
123396860,66,LS,4.785618979033733,0.1276627099134545,0.1229732403928269,3.9101699921002826,0.0519220903515815,0.00031409902,8.800138e-10,3.1930368e-16,2.3838598e-12,0.9995921,9.316236e-05,8.105504e-18,6.1683176e-07,E,0.8256476221199966,414,E,E,2
125962868,66,LS,1.6186431906137255,0.0480540081913443,0.0474695389175978,4.32702459344371,0.2030436508357525,0.0202732,0.00028546754,1.8100377e-06,0.0072787516,0.9102771,0.05144451,1.8868717e-06,0.010437231,E,0.918,8703,E,E,2
151220588,61,LS,1.196411547854313,0.0177609439946909,0.0097131321964313,5.596933962547126,0.0257706735283136,0.00081356004,1.881485e-07,2.2110234e-13,9.0837755e-09,0.9975551,5.3794855e-07,5.4239064e-15,0.0016306938,E,0.984,5820,E,E,2
151820171,66,LS,3.980345593144588,0.0669925529409437,0.0592894261218553,4.794776133333983,0.194898210465908,0.00035420488,6.2384444e-08,2.5148617e-10,7.88007e-09,0.9995964,5.502828e-07,5.2573987e-11,4.882452e-05,E,1.0,4394,E,E,2
158688465,66,LS,7.210643458529508,0.1235640943884998,0.0923206586747532,4.551228390674277,0.0342926196753978,0.00059361977,6.5493815e-08,3.4571204e-11,3.1602407e-10,0.99937767,6.0161583e-06,1.8328533e-12,2.2676097e-05,E,0.902,1999,E,E,2
161542016,66,LS,3.632217891135884,0.0452099390364153,0.0378749281415367,3.706005510220784,0.1214586291462183,0.011591945,4.0222946e-07,9.3816525e-06,0.09055244,0.89763623,1.2810694e-05,2.6773685e-06,0.0001940792,E,0.896,6128,E,E,2
167691127,80,LS,2.6983900744414524,0.0246543873196665,0.0154994566069428,3.378683050767528,0.2282382734119892,0.0016543196,1.8024751e-08,5.098515e-17,1.5533471e-24,0.99766254,2.774157e-07,5.0956047e-22,0.0006827949,E,1.0,8689,E,E,2
175470784,61,LS,1.799507513453115,0.0122777761131306,0.0112390978909971,3.089009436729718,0.0484497705474495,0.00020565515,1.1733414e-11,3.6793867e-12,6.676852e-10,0.99913496,2.2678619e-10,8.6109597e-13,0.0006594184,E,0.992,1754,E,E,2
180618091,27,LS,2.70527713148489,0.030014420074581,0.0129113786249477,2.06144982391924,0.3164286538958549,0.0005664596,4.6689087e-07,1.5127082e-11,4.3554296e-19,0.9930823,7.804256e-06,2.786066e-19,0.0063429615,E,1.0,8471,E,E,2
180618091,28,LS,2.017994723246721,0.0133522447335102,0.0125580295539367,3.2736117491295644,0.2171547710895538,4.9569215e-05,3.2826486e-09,3.0426058e-11,2.3795425e-19,0.9997991,2.8739299e-08,4.7076053e-17,0.000151389,E,1.0,8484,E,E,2
181738737,61,LS,1.4385225483233297,0.0308917032649712,0.0303422520623038,3.4597869862362387,0.0918348226696252,0.024422208,2.3833108e-10,2.2336892e-13,1.5859491e-06,0.9754961,2.9424548e-08,4.274694e-12,8.0170525e-05,E,0.974,6823,E,E,2
182353279,80,LS,5.085493419742745,0.1319315669534386,0.1186362082847857,2.5406620114436844,0.0572885572910308,0.010399863,0.00043807275,1.1220721e-10,1.9577936e-07,0.97577465,0.012512065,6.206532e-12,0.00087519176,E,0.848,3972,E,E,2
