TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
36140351,65,LS,1.5411619860231738,0.0380503415175769,0.0301365571483376,6.541703102520444,0.1293333992362022,0.9998493,5.4682446e-11,7.624523e-12,7.2559254e-05,7.114592e-05,1.4570677e-09,8.913534e-11,6.9402754e-06,ELL,1.0,6926,ELL,ELL,2
43006300,80,LS,2.404032917851056,0.0277226524416144,0.0188733447054148,4.139468368520326,0.0876910425722599,0.96661466,1.3229226e-12,7.62685e-11,6.2667896e-06,0.033374973,1.4617912e-08,3.1662328e-09,4.1342614e-06,ELL,0.9995,4827,ELL,ELL,2
43464434,65,LS,7.327685151708465,0.0625095707600976,0.0516122206669547,3.399771580694945,0.0400049705058336,0.9643203,1.9499213e-11,8.488631e-09,0.0064215213,0.029128838,6.9636876e-08,0.00012203515,7.2139815e-06,ELL,0.9335,1693,ELL,ELL,2
57821571,80,LS,1.8364338858689344,0.014619255466492,0.0099295333042237,6.770655208658134,0.0595554849132895,0.9957158,4.328191e-10,1.7394693e-06,0.004187099,3.0689655e-06,6.757667e-10,1.2164504e-06,9.107883e-05,ELL,0.972,8724,ELL,ELL,2
97550024,66,LS,9.52978184631302,0.2910249595902692,0.2276042452672453,3.704811694630444,0.0792552810162305,0.9959632,2.32009e-13,8.108285e-08,0.0040356494,9.997113e-07,5.290477e-13,3.1121408e-09,5.7973026e-09,ELL,0.964,4754,ELL,ELL,2
106650004,80,LS,2.592592254752528,0.0206132592565036,0.0056055361182939,2.1453448426048425,0.1703798770904541,0.9982508,4.0428563e-12,1.7499388e-10,0.0017403319,8.7123235e-06,4.4627006e-12,4.577958e-09,1.8055508e-07,ELL,0.978,4700,ELL,ELL,2
107330123,66,LS,9.547759227974575,0.0382427206981285,0.0206916196580761,3.731857221059601,0.0535924360156059,0.99105185,6.866739e-09,5.8578484e-09,1.4268783e-05,0.004327937,0.001109856,4.2859185e-07,0.003495564,ELL,0.999,8982,ELL,ELL,2
175626103,66,LS,4.016581924867766,0.0292476981432384,0.028954072770696,7.51447239604569,0.0364094087854027,0.5565717,2.4626466e-08,1.3063783e-08,0.0013255412,0.4317365,0.00050786155,3.7640257e-06,0.009854664,ELL,0.873,359,ELL,ELL,2
182375626,80,LS,1.0171103001380115,0.0447669152360971,0.0446515837825911,5.348617725395101,0.1499195396900177,0.95842564,3.5684733e-09,1.52528e-06,0.023675177,7.428764e-08,5.311741e-12,1.8631903e-10,0.017897569,ELL,0.9,6246,ELL,ELL,2
183580788,62,LS,1.26025656322322,0.0321857991352932,0.0271555138916617,3.321842321271106,0.0850152689963579,0.9985661,1.0312736e-09,4.7388133e-09,0.00012918214,0.0012949614,1.3290938e-08,3.7082334e-08,9.724522e-06,ELL,1.0,4172,ELL,ELL,2
205477082,80,LS,1.836448283663211,0.0163693744192419,0.0009783272084166,0.8169911613118117,0.0367347779683768,0.99105775,4.0750336e-09,2.9595397e-09,4.2468317e-05,0.008758089,0.00011393012,5.043314e-07,2.736159e-05,ELL,1.0,6028,ELL,ELL,2
205477082,81,LS,3.1690252787859654,0.1125614059804323,0.1107215174749382,5.335579342768465,0.1053808163851499,0.7762794,3.9636518e-05,2.5785235e-07,0.00011993428,0.21118239,0.00034002075,9.93838e-07,0.012037344,ELL,0.983,6065,ELL,ELL,2
208151281,66,LS,10.808110401949495,0.0500864099399279,0.0101012581597349,2.115905952350703,0.0471495371311903,0.9964224,2.0507254e-10,2.3224561e-10,2.6091443e-06,0.003564545,7.284644e-07,8.14832e-09,9.679523e-06,ELL,1.0,4041,ELL,ELL,2
209136333,80,LS,6.959179384159357,0.2225903717995107,0.2008257070152386,3.740819409247487,0.0948874372988939,0.98934364,3.0838432e-08,4.526709e-10,1.1543593e-07,0.010399298,0.00019381382,4.0582527e-05,2.2595097e-05,ELL,0.986,4845,ELL,ELL,2
209136333,81,LS,4.753544907089642,0.0359147976225911,0.0064078520423578,1.560460646305831,0.1207431685179472,0.9391292,2.2481745e-06,5.559578e-07,0.0008490059,0.0043814355,0.00911466,0.00020152717,0.046321493,ELL,0.925,4866,ELL,ELL,2
210850936,65,LS,0.930502139472619,0.0117175799858197,0.0108380067484001,5.985887931067964,0.1636292785406112,0.9985966,2.2285828e-12,9.061443e-08,0.0014009418,1.11551856e-07,2.3643265e-13,1.1002336e-09,2.198399e-06,ELL,0.964,4610,ELL,ELL,2
213899713,80,LS,1.5555487712496645,0.0182827870045527,0.0180282367995364,3.367211615766095,0.0462493114173412,0.49792388,9.803541e-10,2.5904832e-08,0.00059294724,0.49832293,9.522907e-05,3.3241408e-06,0.003061735,ELL,0.836,3993,ELL,ELL,2
223626623,80,LS,6.959151319856452,0.2419061493146758,0.2307919368023119,3.759258641533873,0.1116650365293026,0.8324818,8.6603286e-05,9.909051e-09,1.7366803e-07,0.008881901,0.13878296,0.00029471613,0.019471727,ELL,0.91,4375,ELL,ELL,2
