TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
18597960,80,LS,7.345627806010698,0.6006045116019221,0.3983106672981638,3.7811999543764,0.0409139972180128,0.014008532,0.32567844,4.1890496e-09,8.739417e-15,0.0001816199,0.6600202,4.0266606e-11,0.0001112377,LPV,0.538,8669,Irregular,Irregular,1
18597960,80,LS,3.777751443091216,0.1458992800252307,0.1445106829620019,5.195744128422643,0.0409139972180128,0.009096079,0.0037474406,5.2895097e-09,3.0822085e-09,0.10853769,0.7577366,7.629089e-10,0.120882206,Rndm,0.384,8670,Irregular,Irregular,1
18597960,80,LS,1.5374569826534017,0.062631825167782,0.0625461388270523,5.7893488527702885,0.0409139972180128,2.945964e-09,0.00059693516,2.0490604e-10,1.2507621e-08,7.892129e-09,0.55718404,1.2028374e-07,0.4422189,Rndm,0.55,8671,Irregular,Irregular,1
18597960,80,LS,1.9444308898263605,0.0616789128098182,0.0613808381823662,5.545233043277058,0.0409139972180128,4.5017377e-06,0.009606883,1.0884231e-07,3.5508323e-09,2.6747314e-06,0.9377799,3.434074e-05,0.052571706,Rndm,0.36,8672,Irregular,Irregular,1
18597960,80,LS,12.020118228017507,0.2567526512650185,0.0345150401345553,2.095171433555339,0.0409139972180128,0.28307885,0.018785626,3.6282473e-09,5.592944e-10,0.2294949,0.06549515,5.6714624e-09,0.40314543,Rndm,0.398,8673,Irregular,Irregular,1
18597960,80,LS,5.085434634930483,0.0911009460036688,0.0272266072840534,2.555458496268722,0.0409139972180128,0.0009042575,0.0020429043,2.1214153e-09,1.1446926e-09,0.17930676,0.066516325,9.39833e-10,0.7512297,Rndm,0.772,8674,Irregular,Irregular,1
18597960,80,LS,1.2473707595112502,0.0266592207034494,0.0263154893966532,4.981887182684346,0.0409139972180128,4.3013073e-09,7.5240765e-05,1.1179772e-08,3.4416824e-11,2.7505225e-09,0.018458204,3.4213492e-06,0.9814632,Rndm,0.93,8675,Irregular,Irregular,1
18597960,80,LS,2.698393887922297,0.0329419344761559,0.0228845270753802,4.969442737530272,0.0409139972180128,1.9154742e-05,0.0002990174,3.0734974e-12,6.822072e-14,3.6617757e-06,0.96961087,5.3842913e-11,0.030067308,Rndm,0.406,8676,Irregular,Irregular,1
18597960,80,LS,1.1111033656150633,0.0122067370432463,0.0117654040461471,5.029984493455274,0.0409139972180128,6.8227524e-10,1.2819723e-05,2.8634613e-08,2.3345414e-11,1.4474295e-09,0.0030390641,1.5622261e-07,0.99694794,Rndm,0.972,8677,Irregular,Irregular,1
18597960,80,LS,3.305532512704813,0.070045673430116,0.0050936302187627,0.942140219495883,0.0409139972180128,1.38593405e-05,0.0034541495,9.5173895e-09,8.892105e-09,0.00014027493,0.8835318,6.013211e-07,0.11285928,Rndm,0.486,8678,Irregular,Irregular,1
