TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
85771680,39,ACF,0.5555695704606478,0.9415731891656076,1.5239754556195444,27.970664058894776,0.6515959650278091,4.559278e-08,2.484884e-06,0.0017742532,3.7897867e-06,2.131563e-11,1.6517753e-05,0.9959591,0.0022437882,RR,0.994,7335,RR,RR,2
149060456,27,LS,0.3247578570109577,0.1181747649115333,0.1181739888121073,4.330445644320264,0.2962712198495865,8.76849e-09,0.0015968714,5.5030125e-07,6.233384e-16,1.0620573e-10,8.367897e-06,0.93842256,0.059971616,RR,0.988,3279,RR,RR,2
149060456,28,ACF,0.6458394651267554,0.9091355862653632,1.5509917186974196,36.86327163043357,0.297984816133976,1.0471647e-06,0.15444091,0.00010602017,4.432978e-08,2.1565367e-09,0.0019439786,0.79826695,0.045241095,RR,0.964,3301,RR,RR,2
149060456,29,LS,0.6513268060441821,0.8108673783632036,0.8108614030202488,4.157490545781371,0.3019881434738636,2.5888955e-06,0.071017586,0.004400277,0.0003331174,8.290535e-08,4.721429e-05,0.9099431,0.014256014,RR,0.988,3304,RR,RR,2
149060456,30,LS,0.6504772726741719,0.8362806904384091,0.8362800579129298,4.197991787374775,0.2993138879537582,2.2297512e-05,0.049860135,0.041717555,0.00020024613,1.145862e-06,2.8667977e-05,0.9048727,0.0032972922,RR,0.994,3316,RR,RR,2
149060456,35,LS,0.6489592987171765,0.8365572062165907,0.8365544161290522,3.95401908369584,0.3029113262891769,4.7780904e-06,0.03239796,0.067301825,4.434744e-05,2.2559288e-07,4.134718e-06,0.89956886,0.0006779131,RR,0.99,3330,RR,RR,2
149060456,36,LS,0.6481432834261545,0.8199009308360757,0.8198996836611592,4.188600873474996,0.2960665710270405,3.0532105e-05,0.37654117,0.010733791,0.0018395841,2.5391294e-06,0.00023366128,0.6001065,0.010512226,RR,0.972,3344,RR,RR,2
149060456,37,ACF,0.645831188383454,0.9108585675736584,1.5660815057586,37.54136757432056,0.2962288446724415,3.2368283e-05,0.18958144,0.00022614862,5.2620007e-06,2.219377e-06,0.0040499214,0.77907234,0.027030298,RR,0.986,3367,RR,RR,2
149060456,38,LS,0.6510926811409712,0.8225140778880015,0.8225133449673332,3.903004979653645,0.2982326596975326,5.7820915e-05,0.11947917,0.006672872,0.0010708752,6.8894985e-07,4.572144e-05,0.84850174,0.024171159,RR,0.984,3370,RR,RR,2
149060456,39,LS,0.3247757152974289,0.1128525025502026,0.1128467105063703,4.288247635311166,0.2959148027002811,7.830212e-08,0.00021307173,2.8085565e-06,2.316742e-17,2.4982716e-10,1.7526078e-07,0.99759454,0.0021892579,RR,0.996,3384,RR,RR,2
181719523,35,LS,0.8250067467858959,0.7239344942350979,0.7239139979345489,4.082588156993836,0.8177483081817627,4.1235777e-05,8.030037e-06,4.7450183e-05,0.00022169815,5.542808e-09,7.792775e-06,0.9996685,5.3565036e-06,RR,0.878,7276,RR,RR,2
207318741,39,LS,0.3754076701350993,0.9891160108212822,0.9891157797037669,4.373855990254299,0.4044105112552643,7.8129695e-08,0.008489119,0.08517126,8.725649e-07,4.1317225e-08,1.256624e-06,0.90631306,2.4370689e-05,RR,0.946,5360,RR,RR,2
454859654,38,ACF,0.4166727819847438,0.9498731291674964,1.5211378921642116,20.433233899788604,0.575166866183281,4.5992337e-07,0.059672993,0.0015119902,3.4322964e-06,3.7051953e-10,0.001026684,0.9094404,0.028344171,RR,0.982,7302,RR,RR,2
454859654,39,ACF,0.4166587935105781,0.9481300230030424,1.5081975744207092,20.21799458877792,0.5360615998506546,1.01771086e-07,0.5171031,0.00010705032,2.584637e-08,1.505601e-10,0.00068914995,0.40314493,0.078955725,RR,0.866,7319,RR,RR,2
