TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
43855395,80,LS,4.006725952898996,0.1237393215930092,0.1236709129498136,4.209953086663209,0.1047304924577474,1.5099567e-06,1.9994302e-05,7.491559e-06,0.16268149,2.2378133e-08,0.8239558,0.011150661,0.0021830094,CEP,0.51,1388,Unconstrained,Unconstrained,2
57318739,80,LS,5.085508276666114,0.0787935883628992,0.0409631344330037,2.5383055966869925,0.1894985511898994,0.2341053,0.008858208,1.2100119e-06,4.954416e-09,0.09098551,0.42956144,5.7566275e-08,0.23648825,E,0.268,4576,Unconstrained,Unconstrained,2
107822248,66,ACF,0.7963036162582284,0.0943387352879602,0.0073202266838996,1.2749698267800795,0.0350292539224028,6.550548e-06,3.2713123e-09,6.240055e-07,0.24859017,1.6288976e-08,0.7511642,3.057982e-05,0.00020785251,CEP,0.334,3238,Unconstrained,Unconstrained,2
107822248,66,LS,0.7998015860741902,0.1062721523337334,0.1062647578475831,4.497263235778121,0.0350292539224028,3.016672e-05,3.881935e-08,3.3118974e-06,0.22416422,2.1529779e-07,0.7752774,0.00013078396,0.00039390646,CEP,0.43,3204,Unconstrained,Unconstrained,2
148357344,7,LS,0.0900805843290268,0.9131221947800464,0.9131221833551104,4.241155654771319,0.3354208171367645,2.5390813e-05,0.9175538,0.058721032,0.01774453,1.3505743e-07,1.1690354e-05,2.894293e-05,0.0059144935,DST,0.724,5187,Unconstrained,Unconstrained,2
182397052,80,LS,5.0854927487427375,0.0974306351947352,0.0928747356905387,3.3464995323980027,0.2108068205416202,0.000120164535,4.248041e-07,2.6119844e-08,1.6425162e-07,2.3222523e-08,3.3456396e-05,0.9993754,0.000470371,CEP,0.602,4421,Unconstrained,Unconstrained,2
184535525,8,LS,7.089476147035947,0.7762750193903353,0.7654662682129584,3.9620184824798175,0.4695997387170791,0.00033489443,0.91155326,0.00041026506,8.4214735e-05,4.963606e-05,0.08067254,0.00031065632,0.006584552,CEP,0.63,8599,Unconstrained,Unconstrained,2
226089108,80,LS,8.263920664281983,0.3435250335621139,0.2126507567922136,4.802929796081511,0.0619884813204407,0.49049583,0.0007416861,1.33959475e-11,6.008725e-10,0.32774842,0.17945965,8.467521e-10,0.0015544739,ELL,0.763,2196,Unconstrained,Unconstrained,2
227287151,80,LS,4.13197808671448,0.145769604806308,0.1245498126466483,4.862630329650795,0.0246210163459181,0.7882314,0.000126398,8.260962e-07,0.005055497,2.4927942e-06,0.06025744,0.07989778,0.06642821,ELL,0.772,8731,Unconstrained,Unconstrained,2
304040681,10,LS,3.3446124053893005,0.2115061151617586,0.2099764271594474,4.546978257100111,0.1610040105879306,3.7249154e-06,0.040197067,3.7754737e-05,1.7036397e-06,1.22839165e-05,0.9374503,0.0017736555,0.020523645,CEP,0.724,8622,Unconstrained,Unconstrained,2
413577630,80,LS,4.722192076793836,0.0383145927006116,0.0347500152504744,2.7300406271157733,0.0146995694376528,0.0880693,1.5603155e-06,0.00019633216,0.6013287,0.2874501,0.00096169545,0.0021485286,0.019843817,E,0.614,1625,Unconstrained,Unconstrained,2
