TIC,sector,source,per,power,prominence,width,amplitude,brf_class,brf_prob,instability,sigma_brf,entropy,sigma_top,brf_class_raw,cube_idx,sector_class,final_class_tic,decision_step
2753474,66.0,LS,1.200053777391714,0.1734654189561424,0.1732824707371858,4.777194155747566,0.0163611944299191,CEP,0.471,0.02,0.0700632400050126,0.64240605,0.33001724,CEP,53487.0,Unconstrained,Unconstrained,2
2778803,19.0,LS,1.5546953166298465,0.0986707912930044,0.097650334502073,5.355174156329667,0.0061299331719055,CEP,0.564,0.08,0.1203938935328532,0.8996266,0.32887238,CEP,9753.0,Unconstrained,Unconstrained,2
2778803,43.0,LS,0.9000326507206138,0.1382416669449184,0.1382011615988663,4.070120048911122,0.0066326523665338,CEP,0.43,0.06,0.0699342434004973,0.5527618,0.28402475,CEP,9761.0,Unconstrained,Unconstrained,2
2778803,44.0,LS,4.178949645302762,0.1938786362423037,0.1754613053818413,3.507078583219481,0.0074947229586541,CEP,0.489,0.0,0.0516122311085269,0.207999,0.121246226,CEP,9786.0,Unconstrained,Unconstrained,2
2778803,45.0,LS,0.902302679519246,0.1026666972185234,0.1026261630305692,4.765000201112343,0.0063714786665514,CEP,0.462,0.04,0.063645468024047,0.77285886,0.34636486,CEP,9691.0,Unconstrained,Unconstrained,2
2778803,71.0,LS,0.9007670468360238,0.1116625241012534,0.1110967925671703,4.462294203192869,0.0082487316103652,CEP,0.457,0.12,0.0789388016123883,0.4438112,0.30077192,CEP,9732.0,Unconstrained,Unconstrained,2
2778803,73.0,LS,2.856054525094892,0.1405233193919534,0.1377115172603841,5.163352705396392,0.0081567565212026,CEP,0.435,0.1,0.096278462804513,0.540833,0.31404087,CEP,9983.0,Unconstrained,Unconstrained,2
2945216,43.0,LS,1.4817619188083218,0.1510890530416922,0.150917130677633,4.35768928782818,0.009532218100503,CEP,0.472,0.0,0.056674509261219,0.01204407,0.0032839866,CEP,42242.0,Unconstrained,Unconstrained,2
2945216,44.0,LS,1.4961691934522778,0.1861502525030083,0.1857722201084654,4.219390745038254,0.009493856341578,CEP,0.472,0.0,0.0295729606228392,0.0025483363,0.0011286937,CEP,42426.0,Unconstrained,Unconstrained,2
4030832,39.0,LS,0.1867000892755831,0.9694042473905632,0.969404009081329,4.376925498459968,0.080654164776206,DST,0.571,0.0,0.2061785478656788,0.635334,0.31788564,DST,147152.0,Unconstrained,Unconstrained,2
4030832,66.0,LS,0.1868668848124444,0.9549896822297008,0.9549893511010886,4.340606582900364,0.07809997536242,DST,0.696,0.0,0.1852757555645098,0.9099579,0.40191048,DST,147169.0,Unconstrained,Unconstrained,2
6780465,7.0,LS,2.839138194924967,0.0959213753428684,0.0885730869833648,3.907791105343677,0.0592512218281626,CEP,0.635,0.04,0.1314954052429209,0.43201882,0.09100505,CEP,50368.0,Unconstrained,Unconstrained,2
6780465,34.0,LS,11.363480074844986,0.3233091065290968,0.0259007095116912,1.5880118083769048,0.0678434688597917,CEP,0.536,0.0,0.048955963885925,0.7212691,0.3399013,CEP,50361.0,Unconstrained,Unconstrained,2
6800200,54.0,LS,0.8141229742525108,0.1031653493508746,0.1027403067845381,3.3903900906898343,0.0295340921729803,CEP,0.426,0.02,0.0506049167571689,0.51778543,0.25470698,CEP,135064.0,Unconstrained,Unconstrained,2
6800200,80.0,LS,4.006786261115639,0.3663453367301975,0.3660269851935832,4.830393649463076,0.0315363402478396,CEP,0.536,0.0,0.0485116233494613,0.9338819,0.34872,CEP,135101.0,Unconstrained,Unconstrained,2
7038369,39.0,LS,0.2241295546250922,0.7828523345926118,0.7828522963731606,4.471506991016213,0.0578438583761453,CEP,0.426,0.02,0.0280616749321917,0.039797142,0.02125237,CEP,82981.0,Unconstrained,Unconstrained,2
7880765,80.0,LS,1.8888883663782976,0.1546293239554456,0.1543303597016149,4.437934495836089,0.0391723355278372,CEP,0.465,0.12,0.1183839448574003,1.0795777,0.41203865,CEP,85475.0,Unconstrained,Unconstrained,2
7937401,80.0,LS,3.573627759546919,0.8869110973679231,0.8869059068595403,4.57975977395472,0.0184283265843987,CEP,0.528,0.0,0.066131989233653,0.80143625,0.44009915,CEP,37525.0,Unconstrained,Unconstrained,2
10426545,58.0,LS,3.3799225776573523,0.5384296366266672,0.538190977293592,4.681207006695331,0.0236280797980725,CEP,0.434,0.02,0.0855785019733344,0.22004935,0.18338437,CEP,8600.0,Unconstrained,Unconstrained,2
11145365,41.0,ACF,1.8471997659362387,0.8898522340574323,1.7043992411570337,127.6319005197723,0.3256425634026527,CEP,0.524,0.0,0.1768416240594956,0.031627014,0.027688865,CEP,117556.0,Unconstrained,Unconstrained,2
11145365,41.0,LS,1.845567009949794,0.9576574324853206,0.9576565770727812,4.396393956500106,0.3256425634026527,CEP,0.529,0.0,0.1485478724182881,0.0099986885,0.0022614198,CEP,117552.0,Unconstrained,Unconstrained,2
11145365,54.0,LS,1.84616271440262,0.9559518154430368,0.9558975681109664,4.096724216564326,0.3314248099923134,CEP,0.522,0.0,0.1168089311653865,0.005783887,0.0013022172,CEP,117563.0,Unconstrained,Unconstrained,2
11145365,81.0,ACF,1.837960260692853,0.796915112829989,1.4498322668047583,367.8820091665904,0.3210967779159546,CEP,0.52,0.04,0.0774542548863521,0.20780855,0.13522108,CEP,117740.0,Unconstrained,Unconstrained,2
11145365,81.0,LS,1.848640372541677,0.9582730583748512,0.95822422793892,4.047882461811241,0.3210967779159546,CEP,0.524,0.0,0.1660445048774574,0.003960259,0.0013363945,CEP,117737.0,Unconstrained,Unconstrained,2
11157163,58.0,ACF,1.6643547559160652,0.5788253595761356,1.1740535314164775,366.7596042943943,0.0149613001849502,CEP,0.492,0.0,0.0519645417568557,0.07471258,0.069262214,CEP,50717.0,Unconstrained,Unconstrained,2
11157163,58.0,LS,1.6695991464982105,0.6546620687172718,0.6543396546657964,4.464175969806092,0.0149613001849502,CEP,0.558,0.0,0.0476859056745281,0.083684236,0.07588979,CEP,50713.0,Unconstrained,Unconstrained,2
