TIC,sector,source,per,power,prominence,width,amplitude,brf_class,brf_prob,instability,sigma_brf,entropy,sigma_top,brf_class_raw,cube_idx,sector_class,final_class_tic,decision_step
2323229,39.0,LS,0.166160146515182,0.2123755812313847,0.0968455280251735,3.5260028061948105,0.1037568040192127,DST,0.966,0.06,0.1792319123370612,0.63174534,0.32183027,DST,69271.0,DST,DST,2
2323229,66.0,LS,0.1647293615671111,0.437234767692417,0.4372346611398663,4.492210543688998,0.0999594200402498,DST,0.966,0.0,0.0821247831047364,0.5761,0.3145741,DST,69296.0,DST,DST,2
2341101,59.0,LS,9.046003844655552,0.0635176232553714,0.0355516977092804,4.034028782778478,0.0112164963502436,ELL,1.0,0.04,0.189392100152039,0.23914954,0.15048786,ELL,39529.0,ELL,ELL,2
2341101,71.0,LS,2.623972099171544,0.2370500990086677,0.2338663902777044,4.127819887729856,0.0126726529560983,CEP,0.467,0.02,0.0694730336173684,0.5997485,0.31957182,CEP,39532.0,Unconstrained,ELL,2
2753474,66.0,LS,1.200053777391714,0.1734654189561424,0.1732824707371858,4.777194155747566,0.0163611944299191,CEP,0.471,0.02,0.0700632400050126,0.64240605,0.33001724,CEP,53487.0,Unconstrained,Unconstrained,2
2778148,59.0,ACF,2.738440096989507,0.3953642678817057,0.5116369944019278,52.23533794240189,0.0144339422695338,E,0.996809440649122,0.0,0.0049226123032149,0.0010840637,0.00031378542,E,51499.0,E,E,2
2778148,71.0,LS,0.5485437457590164,0.0100553823443828,0.0100263114816023,5.214634261043102,0.0199372437782585,E,0.9969886345498908,0.0,0.0029448959575194,3.7324958e-06,1.0019965e-06,E,51511.0,E,E,2
2778148,73.0,ACF,0.3911992755067786,0.1658656399213596,0.0067490443165035,2.654060139236549,0.0109392532613128,E,0.97,0.04,0.1472605992694448,0.038786475,0.010724837,E,51549.0,E,E,2
2778803,19.0,LS,1.5546953166298465,0.0986707912930044,0.097650334502073,5.355174156329667,0.0061299331719055,CEP,0.564,0.08,0.1203938935328532,0.8996266,0.32887238,CEP,9753.0,Unconstrained,Unconstrained,2
2778803,43.0,LS,0.9000326507206138,0.1382416669449184,0.1382011615988663,4.070120048911122,0.0066326523665338,CEP,0.43,0.06,0.0699342434004973,0.5527618,0.28402475,CEP,9761.0,Unconstrained,Unconstrained,2
2778803,44.0,LS,4.178949645302762,0.1938786362423037,0.1754613053818413,3.507078583219481,0.0074947229586541,CEP,0.489,0.0,0.0516122311085269,0.207999,0.121246226,CEP,9786.0,Unconstrained,Unconstrained,2
2778803,45.0,LS,0.902302679519246,0.1026666972185234,0.1026261630305692,4.765000201112343,0.0063714786665514,CEP,0.462,0.04,0.063645468024047,0.77285886,0.34636486,CEP,9691.0,Unconstrained,Unconstrained,2
2778803,71.0,LS,0.9007670468360238,0.1116625241012534,0.1110967925671703,4.462294203192869,0.0082487316103652,CEP,0.457,0.12,0.0789388016123883,0.4438112,0.30077192,CEP,9732.0,Unconstrained,Unconstrained,2
2778803,73.0,LS,2.856054525094892,0.1405233193919534,0.1377115172603841,5.163352705396392,0.0081567565212026,CEP,0.435,0.1,0.096278462804513,0.540833,0.31404087,CEP,9983.0,Unconstrained,Unconstrained,2
2779013,43.0,LS,1.7352812566298652,0.0221414174655967,0.0218365740833229,3.934167580591748,0.0081613811198621,ELL,0.992,0.02,0.0822851724188507,0.062421545,0.062793486,ELL,14150.0,ELL,ELL,2
2779013,44.0,ACF,1.736240934462785,0.3270594121973099,0.5819467832010522,58.32643554325432,0.0066356110619381,ELL,0.995,0.1,0.2615496251192113,0.3028766,0.2254005,ELL,14174.0,ELL,ELL,2
2779013,45.0,ACF,1.750067869652412,0.2905153370050622,0.4103362389642492,50.82658761692636,0.0078254053369164,ELL,1.0,0.0,0.0082766176666558,0.041058518,0.015583629,ELL,14195.0,ELL,ELL,2
2779013,45.0,LS,1.728843648065393,0.0832056890695998,0.0824826715462976,4.0483111264566105,0.0078254053369164,ELL,1.0,0.02,0.1343781232195181,0.116373785,0.12198479,ELL,14186.0,ELL,ELL,2
2779013,71.0,LS,9.283939850176044,0.0411399033457412,0.0338038716142,3.190154820778844,0.0137768767308443,E,0.844,0.1,0.1935559825993503,0.3850661,0.17405973,E,14251.0,E,ELL,2
2779211,45.0,LS,8.767706872263586,0.0256699486299062,0.0081396173331146,2.8606527405718225,0.0071073649451136,ELL,0.992,0.04,0.1686075917626487,0.2495893,0.13402228,ELL,19033.0,ELL,ELL,2
2856528,71.0,LS,3.893265187800295,0.0208787756572856,0.016259866027039,4.251560454154969,0.0330456183291971,ELL,0.995,0.12,0.2400717170856335,0.45977217,0.29810822,ELL,11805.0,ELL,ELL,2
2856912,44.0,LS,7.57434720061397,0.0809254076854765,0.0676176733747234,4.4386079895848525,0.0177299999631941,ELL,0.998,0.06,0.1699683007720761,0.27924013,0.18745682,ELL,7155.0,ELL,ELL,2
2856912,71.0,ACF,0.1412134413235435,0.251184951515436,0.0159998882050845,3.077617527407405,0.0260475650429725,ELL,0.687,0.12,0.2240473147961093,0.75602853,0.31265616,ELL,7407.0,Unconstrained,ELL,2
2937947,59.0,LS,5.7565689263865565,0.3202649668866248,0.2981370278839437,4.630596765440714,0.0386071461252868,CEP,0.512,0.02,0.0604056156329856,0.05334706,0.022357263,CEP,38662.0,Unconstrained,E,2
2937947,73.0,LS,3.441919905785126,0.0829127557699987,0.0813854201043229,4.400404571242689,0.0252467696554958,E,0.994,0.0,0.0625259980666763,0.017271627,0.005394388,E,38681.0,E,E,2
2939367,43.0,ACF,1.6251529303945065,0.8491051889731716,1.5321708010538204,51.91420988073921,0.3701173141598701,E,0.9999621132287344,0.0,5.536202630677492e-06,0.00051629223,0.00017962765,E,35512.0,E,E,2
2939367,44.0,ACF,1.625123013081975,0.8348730867564221,1.5271730118742928,51.79452339712231,0.3835862874984741,E,0.9999621132287344,0.0,0.0002800833951806,0.001610715,0.00078624976,E,35524.0,E,E,2
2939367,45.0,ACF,1.625065854796958,0.8025169779746691,1.4682694121675026,51.95452816194037,0.4543730616569519,E,0.9999621132287344,0.0,3.508771929761067e-07,0.00013302473,3.3751177e-05,E,35537.0,E,E,2
2939367,59.0,ACF,1.627326836955035,0.8309706953079307,1.5204475271915143,157.80110129971888,0.3672132641077041,E,0.9999621132287344,0.0,0.0338666972831037,0.00054119143,0.000103797836,E,35546.0,E,E,2
2939367,73.0,ACF,1.624985528841535,0.6823876335551213,1.20436675356319,151.6333875166555,0.5178389325737953,E,0.9999878643591192,0.0,0.0039457200441945,0.019018764,0.0053128838,E,35560.0,E,E,2
2942298,43.0,ACF,2.083529983065091,0.7042296330803333,1.2870618339711166,65.90191851885595,0.0068081053905189,ELL,0.988,0.0,0.0031620246678354,0.0004002355,0.00011138346,ELL,47674.0,ELL,ELL,2
2942298,44.0,ACF,2.083491391658754,0.6100730245272756,1.194372918182947,67.43209883747642,0.0074330222560092,ELL,1.0,0.0,0.0282402266279858,0.0138095,0.00816573,ELL,47688.0,ELL,ELL,2
