TIC,sector,source,per,power,prominence,width,amplitude,cnn_ELL,cnn_M,cnn_CEP,cnn_DST,cnn_E,cnn_LPV,cnn_RR,cnn_Rndm,brf_class,brf_prob,cube_idx,sector_class,final_class_tic,decision_step
11819849,61,LS,4.163540448015234,0.0411264632108981,0.036004045550412,3.8745097696364574,0.0317156082019209,0.97994643,1.2870036e-10,7.719243e-09,0.00019746079,0.019855399,6.421136e-11,6.133666e-10,6.454426e-07,ELL,0.994,4263,ELL,Mixed,2
11819849,62,LS,5.882317186700825,0.0271398299116067,0.0107126146973337,1.9150935890474496,0.0244837254285812,0.0011911847,3.2195974e-08,3.911148e-15,2.3416233e-10,0.998628,2.734805e-07,1.4094898e-15,0.00018053972,E,0.994,4293,E,Mixed,2
30643326,62,LS,2.177602574354916,0.0159793924224935,0.0136207057710004,3.502431043753461,0.0706809526309371,0.8509785,7.18339e-09,1.6310729e-07,0.0074512837,0.13032106,0.0016007628,1.0835631e-05,0.009637457,ELL,0.952,553,ELL,Mixed,2
30643326,63,LS,1.6987325210781716,0.0214730463545139,0.020481727116061,5.004218245132051,0.086932061240077,0.0056814244,8.33645e-08,1.3098932e-10,5.578808e-05,0.9820638,0.0003455101,1.4879182e-09,0.011853414,E,0.984,611,E,Mixed,2
30643326,64,LS,4.340675957896933,0.0385048898488867,0.0363077716197492,3.187618674970224,0.082523263990879,0.00058851065,3.3080494e-12,5.14915e-15,5.631761e-10,0.9993625,1.5754797e-09,2.4378010000000002e-17,4.8958373e-05,E,0.996,690,E,Mixed,2
30643326,65,ACF,0.0092593296976701,0.5613057560600831,0.0102172974922077,0.8365636724340025,0.0523131527006626,0.002931589,1.0855517e-06,0.8864512,0.0771858,0.0006224879,8.5372834e-05,0.016962858,0.01575959,DST,0.934,787,DST,Mixed,2
30643326,66,LS,4.43167262109122,0.0381218465964921,0.035648907539452,4.624809676912392,0.044823121279478,0.36920306,0.00019732842,2.090724e-07,0.0014747565,0.08942134,0.43032378,1.1356689e-05,0.10936815,E,0.276,992,Unconstrained,Mixed,2
30643326,67,LS,4.322125462858579,0.0470337700484283,0.0381382015139227,3.5810730982629053,0.0588565180078148,0.9485433,1.37666225e-08,3.392383e-08,0.044075094,0.0018265733,0.005232933,2.6356676e-05,0.00029571573,ELL,0.828,861,ELL,Mixed,2
30643326,68,ACF,0.1458340173853685,0.5411257623337692,0.0014041257681508,0.5696696627251754,0.0809764023870229,0.0021031469,7.360979e-08,2.6044203e-05,0.7481832,0.002145139,0.018466823,0.010682163,0.21839346,DST,0.556,983,Unconstrained,Mixed,2
30643326,68,LS,1.5017791591200853,0.0524633436587545,0.0411958486484783,3.5167596744329046,0.0809764023870229,3.5494036e-06,3.5135564e-10,7.251367e-07,0.9997882,8.636851e-08,6.267221e-05,0.00014438375,3.8829427e-07,CEP,0.518,933,Unconstrained,Mixed,2
30722286,63,ACF,0.2291673689751405,0.5939532733631668,0.0016210538475633,0.7666147115120907,0.0424074474722147,0.89966965,4.4792973e-08,0.0011628908,0.08637928,1.5499908e-06,1.999047e-09,1.2444387e-06,0.012785298,ELL,0.58,2054,Unconstrained,Mixed,2
30722286,63,LS,1.323103974011821,0.0152213824383543,0.0136077942502297,3.280128596116185,0.0424074474722147,0.9372503,2.2030295e-09,0.0012818543,0.060766462,1.7806698e-07,1.6205494e-10,7.4309696e-08,0.00070098497,ELL,0.704,2053,Unconstrained,Mixed,2
30722286,64,LS,5.382445896407354,0.2223856122989946,0.1955269614248773,3.856760063132088,0.032037238124758,1.9382758e-06,2.1425507e-11,2.3368345e-17,1.1043718e-12,0.9999976,2.3449884e-07,1.3042098e-20,2.2573825e-07,E,0.9952822506141628,2061,E,Mixed,2
30722286,65,LS,3.9587205500366167,0.0369656590567661,0.0229983611402832,2.7515250589356164,0.2819036319851875,0.99900764,5.756615e-12,1.2802669e-09,0.00096998905,2.2290214e-05,4.5727705e-12,6.2032264e-09,1.1316336e-07,ELL,0.954,2083,ELL,Mixed,2
30722286,66,LS,1.5707188458527457,0.0429862485953835,0.0390947357829532,3.885772702375633,0.229780338704586,5.1208136e-08,3.4112138e-06,0.9983053,0.00018330345,1.3484092e-10,0.00069209695,1.6899325e-05,0.0007989591,CEP,0.968,2116,CEP,Mixed,2
31150648,62,LS,7.222258125337195,0.129263646326337,0.1265243221484444,3.629838380245437,0.0136555894277989,0.97079337,3.416262e-07,4.2103597e-08,0.0034931265,0.0032059986,0.022300966,1.254845e-06,0.00020494033,ELL,0.936,2911,ELL,Mixed,2
31150648,63,LS,3.315914180610096,0.0607012106888144,0.0460107722674146,5.849069811913957,0.0251337117515504,1.0274568e-05,6.017823e-11,2.1892038e-13,1.6152679e-09,0.9992735,2.5741824e-07,4.6061287e-15,0.00071597646,E,0.998,2987,E,Mixed,2
81047196,7,LS,0.1827600827159426,0.9252165269232794,0.925216361502531,4.2549164995213005,0.0641968334093689,0.00017171512,0.9448183,0.012537691,0.014918184,3.6517355e-07,0.003390679,0.01665779,0.007505342,DST,0.844,7918,DST,Mixed,2
81047196,33,ACF,0.7291769999028475,0.8960178009465715,1.5838210421356451,13.641271186660674,0.076969233341515,0.009949649,1.9861764e-08,1.3816357e-11,1.0787921e-13,0.99001837,1.0188918e-06,5.8572244e-12,3.0939842e-05,E,0.948,7909,E,Mixed,2
180873912,61,LS,5.229063443785077,0.057056659750611,0.0560115837301112,5.601291008835291,0.1777077279984951,0.0038879362,5.651561e-10,1.1284865e-12,3.5154785e-10,0.994823,5.69062e-10,4.874145e-13,0.001289089,E,0.972,4044,E,Mixed,2
180873912,62,LS,6.194409542145196,0.0890687026249429,0.0864722634280944,9.42704837553912,0.1247878558933734,0.9750473,2.8910069e-11,2.0724222e-09,0.010427652,0.011933992,9.8217214e-08,9.347598e-05,0.0024973769,ELL,0.978,4085,ELL,Mixed,2
206801793,80,LS,6.959175260973747,0.1838319080982627,0.180623466739493,4.426637455762795,0.1089141797274351,0.7481022,2.037897e-08,1.1238361e-07,2.3373954e-05,0.25140843,0.00044566454,5.2137216e-07,1.9784204e-05,ELL,0.986,8786,ELL,Mixed,2
206801793,81,ACF,0.178236785592162,0.3627877914718995,0.0032545311235087,1.6247734692913127,0.1162913255393505,0.0012108984,1.6371088e-08,4.122066e-06,0.921757,0.0012934301,0.024644861,0.00741536,0.04367436,DST,0.92,8895,DST,Mixed,2
210217617,80,LS,6.959181827655691,0.2750288537687257,0.2537448710739342,3.7462993166879937,0.0601041223853826,0.99967337,3.807126e-09,5.7943417e-10,0.00021405767,6.2182476e-06,0.00010188729,1.6909591e-07,4.348084e-06,ELL,0.984,8004,ELL,Mixed,2
