TIC,P_rot_d,LSP_pct,tSPAN_d,N_cycle,CROWD,RUWE,P_lit_d,literature_class,references
48022676,6.449,73,338.5,53.8,0.999,1.078,6.696,"SPB, Be","(3), (5), (8)"
48217508,2.785,84,188.9,69.3,0.959,1.101,0.095,"SPB+bCep, bCep","(3), (14)"
65403216,2.729,98,95.7,36.3,0.997,1.045,2.729,"Rot+SLF, Rot","(13), (16)"
110798652,1.908,98,70.1,38.0,0.547,1.056,1.909,Rot,(16)
158490159,2.239,72,67.9,30.3,0.859,0.896,,Em,(18)
162128750,0.238,97,64.4,270.6,0.258,1.001,,HS,"(6), (17)"
198279946,5.577,98,615.8,114.4,0.999,1.094,,,
198388195,2.453,82,612.8,249.8,0.985,1.174,2.459,Rot,(10)
220323146,1.949,98,45.3,24.1,0.890,0.964,,Double/Multiple,(9)
229452839,2.342,72,678.5,289.7,0.992,1.102,,,
229670516,3.699,94,645.3,180.5,0.990,0.970,,SPB+Rot,(3)
229793060,1.061,95,679.5,625.7,0.998,1.011,1.123,"ACV, Rot","(7), (16)"
232643392,2.012,86,396.1,201.3,0.932,8.330,9.868,EB,(12)
236785664,0.753,61,613.7,809.6,0.997,1.204,0.779,MAIA+Rot,(4)
236872887,5.063,99,322.3,66.0,0.997,2.783,,,
238314043,0.231,39,128.3,562.7,0.994,0.898,,const+SLF,(13)
238381092,1.608,97,68.1,43.8,0.996,1.650,1.608,"Multi+SLF, Rot","(13), (16)"
238489837,3.552,97,118.0,34.4,0.989,1.006,3.539,"Rot+SLF, Rot","(13), (15)"
258461221,2.273,78,649.8,289.7,0.999,1.081,,,
268971806,1.289,93,153.0,119.3,0.994,0.868,1.329,"Rot+SLF, Rot","(13), (16)"
269118344,1.855,98,44.9,25.0,0.996,1.015,1.855,"SXAri, Rot","(1), (16)"
276549422,1.215,91,19.0,16.2,0.878,1.069,,HS,(17)
314576961,1.524,41,91.8,59.7,0.992,6.404,1.567,Be+Rot,(4)
322312868,1.971,99,85.1,44.6,0.714,24.919,,Be,(2)
329074395,3.775,90,63.9,17.6,0.647,0.911,,,
358467049,3.741,97,379.1,104.9,0.411,2.295,,SXARI+MAIA,(3)
372913684,1.456,99,379.2,269.2,0.987,1.122,1.453,"Rot, Rot+SLF","(11), (13)"
392569763,1.429,67,601.3,430.7,0.999,0.907,1.447,Pul,(10)
393852409,2.415,96,47.2,20.2,0.846,0.975,,sdB+MS,"(6), (17)"
427393058,0.855,100,44.9,51.6,0.999,1.337,0.901,"Multi+SLF, Rot","(13), (16)"
