TIC,P_A_d,tSPAN_d,CROWD,RUWE,P_lit_d,notes,literature_class,references
47583864,2.374/3.727,231.5,0.999,1.024,,IGW?,,(7)
47763235,0.203,45.2,0.997,0.968,0.209,,bCep,(4)
48503549,0.936,192.9,0.999,1.131,1.799,,"SPB, Rot","(1), (12)"
50787573,1.542,44.9,0.989,1.107,1.542,SPB?,Rot,(12)
159502560,0.542,409.5,0.996,1.098,,,SPB,(1)
160553438,0.832/0.424,505.2,0.999,0.886,,,SPB,(1)
162616331,0.456,126.1,0.996,1.015,0.456,,SPB,(11)
198456386,0.522/0.705,616.8,0.984,1.074,,,"SPB, sdB","(1), (6)"
229966103,1.993,640.0,0.996,1.101,,SPB,,
233121908,0.544/0.716,537.7,0.984,1.047,,SPB,SPB+Rot,(1)
233387809,1.744/3.015,166.0,0.977,1.020,,,SPB,(1)
233613741,0.693/1.459,683.3,0.995,1.058,1.473,SPB,Be+Rot,(2)
236773991,0.175/0.274,401.9,0.998,0.974,,Pul+Rot (P=1.065d),Maia+Rot,(1)
258954765,2.923,582.0,0.995,1.001,,IGW?,,
264075158,3.439,297.6,0.998,0.946,,IGW,,
264180023,2.229/5.329,131.9,0.996,0.847,,IGW,,
265080539,0.226/0.585/0.846,45.3,0.996,1.051,,SPB,SPB-bCep,(9)
275038687,3.637,135.7,0.833,0.886,,IGW,,
275420565,1.668,140.7,0.997,0.831,1.658,SPB,Be+Rot,(2)
276653683,3.595,171.9,0.996,0.945,,SPB (IGW),,
278358300,0.279/1.079/2.017,148.8,0.974,0.856,,,SPB+bCep+Rot,(1)
284563819,0.341/4.239,461.5,0.995,1.091,4.204,SPB,"SPB+Rot, Rot","(1), (12)"
287193769,0.849/2.894,366.9,0.759,1.050,,SPB?,SPB+bCep,(1)
305255878,0.377/0.629,164.9,0.996,0.865,,,SPB,(1)
311432346,1.543/0.754/0.084,72.4,0.996,2.426,,,sdB+MS,(14)
321818578,0.184,206.6,0.968,,0.189,,"bCep, EB+bCep?","(3), (8)"
322312832,0.362/1.966,138.2,0.911,1.089,0.325/1.972,SPB,"SPB+bCep, SPB","(1), (13)"
335036191,1.599/3.315,85.7,0.994,0.895,,,,
352556540,0.454/0.837,176.5,0.978,2.715,0.817,SPB,Be+Rot,(2)
377099704,0.479/4.893,461.6,0.986,1.010,,,SPB+Maia,(1)
402894425,0.139,486.3,0.999,0.999,,,bCep,(1)
412359545,0.628/0.939/5.472,85.1,0.994,0.955,,,SPB,(1)
427393920,1.095,44.9,0.972,2.411,1.095,IGW?,SB,"(4), (5)"
429412649,0.959/1.595/2.946,117.4,0.998,1.020,,,SPB,(1)
464839773,1.199,44.9,0.989,1.144,,SPB,SPB+SLF,(10)
469523327,0.596/2.357,63.9,0.909,1.171,,,SPB,(1)
