TIC,CROWD,RUWE,literature_class,references
4289780,0.999,1.286,Multi+SLF,"(13), (14)"
10510382,0.998,2.467,SPB,(1)
11286209,0.675,1.039,"SB,Rot+SLF","(8), (13)"
12149245,0.992,0.924,,
50743458,0.968,1.106,,
100728163,0.958,1.069,HS,(10)
120638388,0.118,1.113,HS,(11)
129361218,0.907,1.092,,
153976829,0.999,2.102,HS,(12)
160583519,0.981,0.993,HS,(7)
175599737,0.871,0.994,,
177860391,0.993,1.095,,
187458882,0.998,1.139,,
229479255,0.971,1.033,Pul,(6)
243276811,0.895,1.086,,
277502552,0.990,1.609,EB,(15)
289536555,0.959,1.938,,
298093039,0.999,3.729,HS,(3)
305850608,0.654,,bCep,(1)
313986452,0.999,1.852,Be+Rot,(2)
321335373,0.988,0.997,SPB+bCep+Rot,(1)
322060937,0.997,0.924,Be,(4)
335682563,0.995,1.605,HS,(3)
337364158,0.977,1.869,,
353895732,0.689,0.965,HS Candidate,(7)
356341059,0.799,1.036,"HS, Em","(9), (16)"
377159029,0.308,1.064,,
393790402,0.878,0.948,HS,(5)
407615454,0.999,3.329,Multi+SLF,(13)
412353405,0.983,0.973,,
427393350,0.959,0.882,,
427394772,0.660,1.358,,
427395300,0.913,0.945,,
