#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T12:00:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:00:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/639/A81/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36390081
#Name: J/A+A/639/A81
#Title: Variability of OB stars (Burssens+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	creator=Burssens S.	    First author or institution
#INFO	cites=bibcode:2020A&A...639A..81B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/639/A81	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36390081	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_639_A81_table2:
#Name: J/A+A/639/A81/table2
#Title: Overview of OB-type stars with available TESS photometry and IACOB/OWN spectroscopy with spectral type O4 to B3 considered in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(I1)	Sample code (G1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(a21)	Spectral type	[ucd=src.spType]
#Column	SpClass	(a15)	Spectral class	[ucd=src.spType]
#Column	logTeff	(F5.2)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	logLs	(F5.2)	? Spectroscopic luminosity (where Ls=Teff^4^/g) (2)	[ucd=stat.fit.param]
#Column	vsini	(I3)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	vmac	(I3)	? Macroturbulent velocity	[ucd=phys.veloc.microTurb]
#Column	Nsp	(I3)	Number of available spectra	[ucd=meta.number]
#Column	VarTypesp	(a8)	Spectral variability type (G3)	[ucd=meta.code;src.var]
#Column	VarTypeT	(a12)	TESS variability type (4)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Sample	Name	SpType	SpClass	logTeff	logLs	vsini	vmac	Nsp	VarTypesp	VarTypeT	Simbad	_RA	_DE
 	 	 	 	 	[K]	[Sun]	km/s	km/s	 	 	 	 	deg	deg
--------	-	-----------	---------------------	---------------	-----	-----	---	---	---	--------	------------	------	---------	---------
       1	1	HD 96715   	O4                   	V((f))z        	 4.66	 4.10	 59	 86	  2	---     	SLF         	Simbad	166.88674	-59.96353
       2	1	HD 46223   	O4                   	V((f))         	 4.62	 4.16	 60	 91	  7	---     	SLF+SPB?    	Simbad	098.03878	+04.82353
       3	1	HD 155913  	O4.5                 	Vn((f))        	 4.63	 3.88	278	   	  9	---     	SLF+SPB     	Simbad	259.10972	-42.66781
       4	1	HD 46150   	O5                   	V((f))z        	 4.61	 4.03	 71	 94	 20	SB1?    	SLF         	Simbad	097.98134	+04.94286
       5	1	HD 90273   	ON7                  	V              	 4.59	 3.95	 55	 55	  1	---     	SLF+SPB?    	Simbad	155.93523	-57.64209
       6	1	HD 110360  	ON7                  	V              	 4.59	 3.60	 96	 86	  2	SB1     	rot?        	Simbad	190.55293	-60.65242
       7	1	HD 47839   	O7                   	V              	 4.58	 3.70	 43	 65	113	SB1     	SLF+beta Cep	Simbad	100.24441	+09.89576
       8	1	HD 46485   	O7                   	V((f))nz var?  	 4.55	 3.74	322	   	  3	SB1?    	EB          	Simbad	098.46232	+04.52545
       9	1	HD 53975   	O7.5                 	Vz             	 4.56	 3.74	181	   	  5	SB1     	SLF+rot?    	Simbad	106.64986	-12.39395
      10	1	HD 41997   	O7.5                 	Vn((f))        	 4.55	 3.85	262	   	  4	---     	SLF+rot?    	Simbad	092.23259	+15.70505
      11	1	HD 152590  	O7.5                 	Vz             	 4.58	 3.79	 48	 56	 10	SB1     	EB          	Simbad	254.02173	-40.34933
      12	1	HD 46573   	O7                   	V((f))z        	 4.56	 3.93	 77	 81	  5	SB1     	SLF+rot?    	Simbad	098.59821	+02.53415
      13	1	HD 48279   	O8                   	V              	 4.55	 3.76	131	 74	  4	---     	SLF+SPB?    	Simbad	100.66895	+01.71618
      14	1	HD 101191  	O8                   	V              	 4.55	 3.80	138	   	  4	---     	cont.       	Simbad	174.55069	-63.39078
      15	1	HD 38666   	O9.5                 	V              	 4.53	 3.59	111	 56	 11	---     	PQ          	Simbad	086.49956	-32.30643
      16	1	HD 36512   	O9.7                 	V              	 4.51	 3.44	 13	 33	 23	SB1     	SLF?        	Simbad	082.98275	-07.30154
      17	1	HD 123056  	O9.5                 	IV(n)          	 4.50	 3.70	193	   	  9	SB1     	SLF+SPB?    	Simbad	211.85682	-60.47060
      18	1	HD 76556   	O6                   	IV(n)((f))p    	 4.58	 3.80	239	   	  4	---     	SLF+SPB?    	Simbad	133.77977	-47.60754
      19	1	HD 74920   	O7.5                 	IVn((f))       	 4.54	 3.90	291	   	  1	---     	SLF+SPB?    	Simbad	131.29309	-46.03868
      20	1	HD 135591  	O8                   	IV((f))        	 4.54	 3.99	 60	 60	  3	---     	SLF         	Simbad	229.70476	-60.49633
      21	1	HD 326331  	O8                   	IVn((f))       	 4.54	 3.82	332	   	  6	WVa     	SLF         	Simbad	253.60820	-41.83216
