#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T12:00:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:00:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/639/A81/tablea1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36390081
#Name: J/A+A/639/A81
#Title: Variability of OB stars (Burssens+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	creator=Burssens S.	    First author or institution
#INFO	cites=bibcode:2020A&A...639A..81B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/639/A81	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36390081	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_639_A81_tablea1:
#Name: J/A+A/639/A81/tablea1
#Title: Summary of the frequency analysis of the stars considered in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(I1)	Sample code (G1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star Name	[ucd=meta.id;meta.main]
#Column	TIC	(I9)	TIC identification number	[ucd=meta.id]
#Column	n_TIC	(A1)	[+] Note on TIC (2)	[ucd=meta.note]
#Column	1/DT	(F6.3)	Frequency resolution of the amplitude spectra, defined as the reciprocal of the time-span	[ucd=spect.resolution]
#Column	Window	(F4.1)	Noise window	[ucd=instr.det.noise]
#Column	nudom	(F8.5)	Dominant frequency	[ucd=em.freq]
#Column	e_nudom	(F8.5)	rms uncertainty on nudom	[ucd=stat.error]
#Column	Adom	(F7.3)	Amplitude of dominant frequency	[ucd=phot.mag]
#Column	e_Adom	(F6.3)	rms uncertainty on Adom	[ucd=stat.error]
#Column	S/N	(F5.2)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	VarTypesp	(a13)	Spectral variability type (G3)	[ucd=meta.code;src.var]
#Column	Notes	(a7)	Notes (4)	[ucd=meta.note]
recno	Sample	Name	TIC	n_TIC	1/DT	Window	nudom	e_nudom	Adom	e_Adom	S/N	VarTypesp	Notes
 	 	 	 	 	d-1	d-1	d-1	d-1	mmag	mmag	 	 	
--------	-	-----------	---------	-	------	----	--------	--------	-------	------	-----	-------------	-------
       1	1	HD 96715   	306491594	 	 0.018	 1.0	 0.47800	 0.00070	  0.330	 0.020	 3.34	SLF          	
       2	1	HD 46223   	234881667	 	 0.046	 1.0	 0.18100	 0.00200	  0.800	 0.050	 3.16	SLF+SPB?     	
       3	1	HD 155913  	216662610	 	 0.040	 1.0	 1.63700	 0.00100	  1.550	 0.070	 4.27	SLF+SPB      	
       4	1	HD 46150   	234840662	 	 0.046	 1.0	 0.56300	 0.00200	  0.440	 0.030	 2.27	SLF          	
       5	1	HD 90273   	464295672	 	 0.041	 1.0	 0.58100	 0.00100	  0.670	 0.040	 2.46	SLF+SPB?     	
       6	1	HD 110360  	433738620	 	 0.039	 1.0	 1.23720	 0.00060	  0.770	 0.020	 5.59	rot?         	
       7	1	HD 47839   	220322383	 	 0.046	 1.0	12.54350	 0.00070	  0.390	 0.010	 7.87	SLF+ beta Cep	
       8	1	HD 46485   	234933888	 	 0.046	 5.0	 0.14530	 0.00040	  8.900	 0.100	15.43	EB           	HARM, *
       9	1	HD 53975   	148506724	 	 0.041	 1.0	 0.17000	 0.00050	  1.190	 0.030	 5.13	SLF+rot?     	
      10	1	HD 41997   	294114621	 	 0.046	 1.0	 1.22000	 0.00200	  2.500	 0.200	 3.19	SLF+rot?     	
      11	1	HD 152590  	341258182	 	 0.040	 5.0	 0.44500	 0.00300	 25.000	 4.000	 5.95	EB           	HARM, *
      12	1	HD 46573   	234947719	 	 0.046	 1.0	 0.86100	 0.00200	  0.970	 0.070	 2.60	SLF+rot?     	
      13	1	HD 48279   	234009943	 	 0.046	 1.0	 1.21300	 0.00200	  0.680	 0.040	 3.09	SLF+SPB?     	
      14	1	HD 101191  	319936861	 	 0.018	 1.0	 0.95530	 0.00020	  1.980	 0.040	 7.28	cont.        	IV
      15	1	HD 38666   	100589904	 	 0.019	 1.0	 0.83490	 0.00030	  0.162	 0.004	 5.62	PQ           	IV
      16	1	HD 36512   	 34512896	 	 0.046	 1.0	 0.30600	 0.00100	  0.095	 0.005	 2.41	SLF?         	
      17	1	HD 123056  	330281456	 	 0.039	 1.0	 0.47530	 0.00070	  2.250	 0.070	 5.30	SLF+SPB?     	
      18	1	HD 76556   	 30135331	 	 0.041	 1.0	 0.23500	 0.00200	  3.000	 0.200	 3.49	SLF+SPB?     	
      19	1	HD 74920   	430625455	 	 0.020	 1.0	 1.56800	 0.00100	  1.000	 0.100	 2.89	SLF+SPB?     	
      20	1	HD 135591  	455675248	 	 0.036	 1.0	 0.62500	 0.00200	  0.950	 0.080	 2.88	SLF          	
      21	1	HD 326331  	339568114	 	 0.040	 1.0	 0.18900	 0.00200	  2.500	 0.300	 2.33	SLF          	
