#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T12:05:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:05:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/L9/table1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18729009
#Name: J/ApJ/872/L9
#Title: TESS obs. of massive O and B stars (Pedersen+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/l9	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/l9	    IVOID of underlying data collection
#INFO	creator=Pedersen M.G.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872L...9P	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/L9	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18729009	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-09-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_L9_table1:
#Name: J/ApJ/872/L9/table1
#Title: Identification numbers, parameters and variability classification of the 154 O and B stars
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TIC	(I9)	[12359289/469906369] TESS Input Cat. identifier	[ucd=meta.id;meta.main]
#Column	f_TIC	(A1)	[a] a: an LMC member	[ucd=meta.code]
#Column	Name	(a19)	Source name	[ucd=meta.id]
#Column	SpType	(a14)	SIMBAD spectral type	[ucd=src.spType]
#Column	Gaia	(I19)	? Gaia DR2 identifier	[ucd=meta.id]
#Column	GMag	(F5.2)	[-4.6/1.8]? Absolute Gaia G band magnitude	[ucd=phys.magAbs]
#Column	BP-RP	(F5.2)	[-0.4/3.2]? Gaia Blue-Red passbands color index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	Nsp	(a9)	Number(s) of high-resiolution spectra available in the ESO archive (2)	[ucd=meta.number]
#Column	Inst	(a7)	Instrument(s) (2)	[ucd=meta.id;instr]
#Column	VarType	(a43)	Variability type (3)	[ucd=meta.note]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	TIC	f_TIC	Name	SpType	Gaia	GMag	BP-RP	Nsp	Inst	VarType	SimbadName	_RA	_DE
 	 	 	 	 	 	mag	mag	 	 	 	 	deg	deg
--------	---------	-	-------------------	--------------	-------------------	-----	-----	---------	-------	-------------------------------------------	-------------------	---------	---------
       1	 12359289	 	HD 225119          	Apsi          	2333119869770412288	-0.98	-0.12	1        	F      	rot                                        	HD 225119          	000.90458	-28.41714
       2	 29990592	a	HD 268623          	B2Ia          	4657589254497529344	-4.10	 0.07	1        	F      	SLF                                        	HD 268623          	073.07956	-66.73148
       3	 30110048	a	HD 268653          	B3Ia          	4765410903770283008	-2.02	-0.22	1        	F      	SLF                                        	HD 268653          	073.37514	-66.92450
       4	 30268695	a	HD 268809          	B1Ia          	5290767631226220032	-2.20	-0.10	1        	F      	SLF                                        	HD 268809          	074.04357	-69.26064
       5	 30275662	a	Sk-66 27           	B3Ia          	4661771801060664064	-3.37	-0.04	4        	U      	SLF                                        	Sk-66 27           	074.09789	-66.49780
       6	 30275861	a	[HT83] alf         	O6V           	4662155839823561216	 1.47	-0.13	-        	-      	rot                                        	[HT83] alf         	074.18013	-66.41739
       7	 30312676	a	HD 268726          	B2Ia          	4662153812635167488	-2.87	 0.01	2        	U      	SLF                                        	HD 268726          	074.28677	-66.39033
       8	 30312711	a	BI 42              	O8V           	                   	     	     	-        	-      	SLF / rot / EB?                            	BI 42              	074.25369	-66.40700
       9	 30317301	a	HD 268798          	B2Ia          	4661511422956353152	-3.02	 0.00	-        	-      	EV / rot / SLF                             	HD 268798          	074.28357	-68.42008
      10	 30933383	a	Sk-68 39           	B2.5Ia        	4662153469001983104	-2.97	 0.12	2        	F      	SLF                                        	Sk-68 39           	076.20907	-68.13121
      11	 31105740	a	TYC 9161-925-1     	B0.5Ia        	4655458160445111552	-2.93	-0.15	1,3      	F,U    	SLF                                        	TYC 9161-925-1     	076.36298	-68.16740
      12	 31181554	a	HD 269050          	B0Ia          	4661392533937464448	-2.05	-0.22	22,12    	X,U    	SLF                                        	HD 269050          	076.83509	-68.53571
      13	 31867144	 	HD 22252           	B8IV          	4671120982756449664	-1.11	-0.01	-        	-      	rot / SPB + {Beta} Cep hybrid?             	HD 22252           	052.71545	-66.48971
      14	 33945685	 	HD 223118          	B9.5V         	2338752697903817216	 1.29	 0.04	-        	-      	instr? ({nu}_inst_~2.8d^-1^)/puls          	HD 223118          	356.71589	-24.29362
      15	 38602305	 	HD 27657 AB        	B9IV          	4676067719930656640	 0.28	-0.11	-        	-      	rot                                        	HD 27657           	064.41780	-63.25541
      16	 40343782	a	HD 269101          	B3Iab         	5288240197589081728	-3.18	 0.04	-        	-      	SLF / SPB?                                 	HD 269101          	077.43831	-68.76941
      17	 41331819	 	HD 43107           	B8V           	5282761464287879296	 0.29	-0.09	84,12    	X,U    	rot / outburst?                            	HD 43107           	092.18442	-68.84341
      18	 47296054	 	HD 214748          	B8Ve          	6622561673163632768	-1.38	-0.10	26       	U      	rot / SPB / Be                             	HD 214748          	340.16395	-27.04362
      19	 49687057	 	HD 220787          	B3III         	4657674745869490304	-2.38	 0.15	6,18     	F,X    	instr / binary?                            	HD 220787          	351.68955	-11.03260
      20	 53992511	 	HD 209522          	B4IVe         	2436569757731466112	-2.04	-0.25	3,18,1,15	F,X,E,U	rot / SPB / Be                             	HD 209522          	331.15319	-26.82236
      21	 55295028	 	HD 33599           	B2Vpe         	6619440159652409728	-1.60	-0.23	1        	F      	rot / SPB / Be                             	HD 33599           	076.80395	-61.80508
      22	 66497441	 	HD 222847          	B9V           	2391220091406075648	-0.10	-0.08	1,42     	F,U    	EV / rot? / SPB?                           	HD 222847          	356.05033	-18.27695
      23	 69925250	 	V* HN Aqr          	B             	2402031280004432512	-1.58	-0.30	4        	U      	known {Beta} Cep                           	V* HN Aqr          	339.40952	-18.66424
      24	 89545031	 	HD 223640          	A0VpSiSr      	2390144081839340288	 0.10	-0.15	33       	U      	rot                                        	HD 223640          	357.83891	-18.90916
      25	 92136299	 	HD 222661 A        	B9V           	2419885149815948416	 0.99	-0.06	28       	U      	SPB+Be-type mini-outbursts / rot           	WDS J23427-1433A   	355.68061	-14.54491
