#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:52 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/163/226&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51630226
#Name: J/AJ/163/226
#Title: Classifying Be Star Variability with TESS I. (Labadie-Bartz+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	creator=Labadie-Bartz J.	    First author or institution
#INFO	cites=bibcode:2022AJ....163..226L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/163/226	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51630226	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_163_226_table2:
#Name: J/AJ/163/226/table2
#Title: Table of full (including the non-Be stars)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TIC	(I10)	Input Catalog identifier	[ucd=meta.id;meta.table]
#Column	OName	(a19)	Common name	[ucd=meta.id;meta.main]
#Column	SpT	(a10)	Spectral type, BeSS database	[ucd=src.spType]
#Column	q	(I1)	[0/1] Data quality (1)	[ucd=meta.code.qual]
#Column	Be	(A1)	Be type (2)	[ucd=src.class]
#Column	signals	(a13)	Signals (3)	[ucd=meta.code]
#Column	Ns	(I1)	[0/8]? Number of group identified in light curve	[ucd=meta.number]
#Column	tgs	(A1)	Typical groups (4)	[ucd=meta.code]
#Column	fg1	(F5.2)	[0/3.28]? Central frequency of g1	[ucd=em.freq]
#Column	fg2	(F5.2)	[0.8/6.53]? Central frequency of g2	[ucd=em.freq]
#Column	gratio	(A4)	Stronger group?	[ucd=meta.code]
#Column	Tmag	(F5.2)	[4.05/12.73] TESS Magnitude	[ucd=phot.mag;em.opt.I]
#Column	contratio	(F7.4)	[0.0001/14.7] Contamination ratio (5)	[ucd=meta.code]
#Column	RAJ2000	(F16.12)	[0.93/360] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	[-80.2/18.6] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SectorsC1	(a29)	TESS Sectors, C1	[ucd=obs.field]
#Column	SectorsC3	(a32)	TESS Sectors, C3	[ucd=obs.field]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	TIC	OName	SpT	q	Be	signals	Ns	tgs	fg1	fg2	gratio	Tmag	contratio	RAJ2000	DEJ2000	SectorsC1	SectorsC3	Simbad
 	 	 	 	 	 	 	 	 	/d	/d	 	mag	 	deg	deg	 	 	
--------	----------	-------------------	----------	-	-	-------------	-	-	-----	-----	----	-----	-------	----------------	---------------	-----------------------------	--------------------------------	------
       1	   1748132	HD 75740           	A0IIIe    	0	 	             	 	 	     	     	    	 9.56	 0.0309	132.725270000000	-26.35154000000	                             	35                              	Simbad
       2	   3178733	HD 147580          	B7Ve      	0	 	             	 	 	     	     	    	 9.27	 0.5010	246.268120000000	-49.73935000000	12                           	39                              	Simbad
       3	   4827953	V647 Mon           	B1Vne     	1	Y	S/G          	1	N	     	     	    	 9.04	 0.0120	107.244860000000	-01.01579000000	7                            	33                              	Simbad
       4	   5528993	HD 89884           	B5IIIe    	1	Y	G            	4	Y	 1.22	 2.45	g2  	 7.26	 0.0011	155.497490000000	-18.03450000000	9                            	35                              	Simbad
       5	   6110321	SS 120             	B8e:      	1	Y	I/H/G        	2	Y	 2.76	 5.42	g2  	10.61	 0.1028	112.255514000000	-08.54831100000	7                            	34                              	Simbad
       6	  10176636	V757 Mon           	B3IV      	1	Y	G            	4	Y	 0.84	 1.60	g2  	 6.69	 0.0046	110.394308000000	-05.89716700000	7                            	33                              	Simbad
       7	  10536200	CD-53 6689         	B2.5IVne  	1	Y	L/F+/G       	3	Y	 1.17	 2.18	sim.	 9.45	 0.3303	246.953400000000	-53.53474000000	12                           	39                              	Simbad
       8	  11411724	StHA 52            	B1.5V     	1	U	             	 	 	     	     	    	 7.62	 0.0061	085.409923000000	-02.25901300000	6                            	                                	Simbad
       9	  11559798	OY Hya             	B5Ve      	1	Y	I/L/G        	2	Y	 2.35	 5.08	sim.	 6.29	 0.0009	149.776370000000	-23.95079000000	9                            	35                              	Simbad
      10	  11972111	HD 84567           	B0.5IIIne 	1	Y	S/I/L        	0	N	     	     	    	 5.97	 0.0006	146.341720000000	-30.20277000000	9                            	35                              	Simbad
      11	  14088298	HD 33453           	B8Vne     	1	Y	G            	2	Y	 3.28	 6.53	g1  	 8.10	 0.0001	077.110260000000	-40.91243000000	5-6                          	31-32                           	Simbad
      12	  14498757	OT Gem             	B2Ve      	1	Y	S/L/F+/G     	3	Y	 2.12	 4.01	g2  	 6.48	 0.0125	111.115210000000	+15.51721000000	7                            	33                              	Simbad
      13	  14709809	RY Gem             	A2Ve      	1	N	             	 	 	     	     	    	 8.72	 0.0111	111.850700000000	+15.65966000000	7                            	33                              	Simbad
      14	  16688664	CP-45 8706         	B9        	0	 	             	 	 	     	     	    	10.28	 0.3102	264.057602000000	-45.55081600000	12                           	39                              	Simbad
      15	  16902823	HD 159489          	B1Ve      	1	Y	S/L/F/G      	3	Y	 1.05	 2.06	sim.	 8.21	 0.0471	264.307548000000	-45.15744800000	12                           	39                              	Simbad
      16	  19727094	HD 148692          	B7Ve      	0	 	             	 	 	     	     	    	 8.65	 0.9717	248.073140000000	-50.54190000000	12                           	39                              	Simbad
      17	  21249978	V868 Ara           	B6Vne     	1	S	S/I/L/G      	4	N	     	     	    	 6.92	 0.0166	267.578620000000	-47.23054000000	13                           	39                              	Simbad
      18	  22123033	HD 85860           	B4Ve      	1	Y	S/I/H/G      	5	Y	 1.88	 4.30	g1  	 7.24	 0.1742	148.521380000000	-27.99894000000	9                            	35                              	Simbad
