#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:53 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/485/3457&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74853457
#Name: J/MNRAS/485/3457
#Title: Rotational modulation in TESS B stars (Balona+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/485/3457	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/485/3457	    IVOID of underlying data collection
#INFO	creator=Balona L.A.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.485.3457B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/485/3457	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74853457	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_485_3457_table1:
#Name: J/MNRAS/485/3457/table1
#Title: List of B stars observed by TESS
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(I9)	TIC star name (NNNNNNNNN)	[ucd=meta.id;meta.main]
#Column	OName	(a15)	Other name	[ucd=meta.id]
#Column	VarType	(a14)	Assigned variability type (GCVS type in parenthesis from Samus et al. 2017ARep...61...80S, Cat. B/gcvs)	[ucd=meta.note;src.var]
#Column	Vmag	(F6.3)	Apparent V magnitude	[ucd=phot.mag;em.opt.V]
#Column	nurot	(F6.3)	? Presumed rotational frequency (in cycles/d)	[ucd=em.freq;src.var]
#Column	Arot	(I5)	? Amplitude of the periodogram peak	[ucd=src.var.amplitude]
#Column	S/N	(I3)	? Signal to noise ratio of the periodogram peak	[ucd=meta.note]
#Column	NH	(I1)	? Number of visible harmonics	[ucd=meta.number]
#Column	ve	(I3)	? Derived equatorial rotational velocity (G1)	[ucd=phys.veloc.rotat]
#Column	vsini	(I3)	? Projected rotational velocity from the literature	[ucd=phys.veloc.rotat]
#Column	Teff	(I5)	? Adopted effective temperature	[ucd=phys.temperature.effective]
#Column	r_Teff	(I2)	? Reference for Teff (G2)	[ucd=meta.ref;pos.frame]
#Column	logLstar	(F5.2)	? Stellar luminosity obtained from the Gaia parallax (Gaia Collaboration 2018A&A...616A...1G, Cat. I/345)	[ucd=phys.luminosity]
#Column	SpType	(a20)	Spectral type ((Be) indicates classical Be star)	[ucd=src.spType]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	OName	VarType	Vmag	nurot	Arot	S/N	NH	ve	vsini	Teff	r_Teff	logLstar	SpType	SimbadName	_RA	_DE
 	 	 	 	mag	d-1	ppm	 	 	km/s	km/s	K	 	[Lsun]	 	 	deg	deg
--------	---------	---------------	--------------	------	------	-----	---	-	---	---	-----	--	-----	--------------------	-------------------	---------	---------
       1	 12359289	HD 225119      	SXARI         	 8.180	 0.325	 4157	 95	1	 65	   	15330	 1	 2.90	kB8hB7HeB9.5IIISi   	HD 225119          	000.90458	-28.41714
       2	 29990592	HD 268623      	ACYG          	11.635	      	     	   	 	   	   	20665	 2	     	B1.5Ia(LMC)         	HD 268623          	073.07956	-66.73148
       3	 30110048	HD 268653      	ACYG          	10.760	      	     	   	 	   	   	17185	 2	     	B2.5Ia(LMC)         	HD 268653          	073.37514	-66.92450
       4	 30268695	HD 268809      	ACYG          	11.964	      	     	   	 	   	   	22845	 2	     	B0.5Ia(LMC)         	HD 268809          	074.04357	-69.26064
       5	 30275662	Sk-66 27       	ACYG          	11.779	      	     	   	 	   	   	17765	 2	     	B2.5/3Ia(LMC)       	Sk-66 27           	074.09789	-66.49780
       6	 30312676	HD 268726      	ACYG          	11.265	      	     	   	 	   	   	19075	 2	     	B2Iaq(LMC)          	HD 268726          	074.28677	-66.39033
       7	 30317301	HD 268798      	EB            	11.490	      	     	   	 	   	   	28000	 1	     	B0.5, B2Ia(LMC)     	HD 268798          	074.28357	-68.42008
       8	 30933383	Sk-68 39       	ACYG          	12.039	      	     	   	 	   	   	22580	 1	     	B2.5Ia(LMC)         	Sk-68 39           	076.20907	-68.13121
       9	 31105740	TYC 9161-925-1 	ACYG          	12.010	      	     	   	 	   	   	24970	 2	     	B0.5Iae(LMC)        	TYC 9161-925-1     	076.36298	-68.16740
      10	 31181554	HD 269050      	ACYG          	11.540	      	     	   	 	   	   	25000	 1	     	B0Ia(e?)(LMC)       	HD 269050          	076.83509	-68.53571
      11	 31674330	GJ 127.1       	-             	11.394	      	     	   	 	   	  0	16860	 3	-2.75	DA3.0               	GJ 127.1           	047.62925	-68.60094
      12	 31867144	HD 22252       	SPB           	 5.806	      	     	   	 	   	223	12157	 4	 2.72	B8IV                	HD 22252           	052.71545	-66.48971
      13	 33945685	HD 223118      	ROT           	 8.250	 2.835	   72	 25	0	273	   	10500	 5	 1.60	B9V                 	HD 223118          	356.71589	-24.29362
      14	 38602305	HD 27657       	ROT           	 5.870	 0.336	  920	143	3	 42	   	12448	 7	 2.13	B9III/IV; A2-A7m    	HD 27657           	064.41780	-63.25541
      15	 40343782	HD 269101      	ACYG?         	12.030	      	     	   	 	   	   	21370	 1	     	B3Iab;(LMC)         	HD 269101          	077.43831	-68.76941
      16	 41331819	HD 43107       	ROT           	 5.044	 0.714	  324	 91	0	106	 98	10886	 4	 2.04	B9.5III, B8V        	HD 43107           	092.18442	-68.84341
      17	 47296054	HD 214748      	SPB+ROT       	 4.180	 0.836	   63	 51	3	202	180	13520	 1	 2.84	B8IVe(Be)           	HD 214748          	340.16395	-27.04362
      18	 49687057	HD 220787      	-             	 8.290	      	     	   	 	   	 26	17379	 6	 3.54	B3III               	HD 220787          	351.68955	-11.03260
      19	 53992511	HD 209522      	BE(BE)        	 5.952	      	     	   	 	   	280	22570	 1	 3.51	B4IVe(Be)           	HD 209522          	331.15319	-26.82236
      20	 55295028	HD 33599       	BE            	 8.970	      	     	   	 	   	200	22570	 1	 4.44	B3p shell:(Be)      	HD 33599           	076.80395	-61.80508
