TIC,class_raw,class_paper,class_tokens,reference,method,period,class_is_inferred,source_table,ra_deg,dec_deg,tic
5051420,SLF+rot,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.397624039133473,False,J/A+A/639/A81/table2 x tablea1,,,5051420
10536200,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.8547008547008548,False,J/AJ/163/226/table2,246.9534,-53.53474,10536200
11411724,Be=U (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,85.409923,-2.259013,11411724
11972111,Be=Y; signals=S/I/L,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,146.34172,-30.20277,11972111
25883580,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9523809523809524,False,J/AJ/163/226/table2,248.68146,-49.55264,25883580
29122883,Be=Y; signals=S/L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.4184100418410041,False,J/AJ/163/226/table2,132.64915,-45.54896,29122883
29207816,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.0214271275520517,False,J/A+A/639/A81/table2 x tablea1,,,29207816
29690468,Be=Y; signals=S/I+/L/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.351351351351351,False,J/AJ/163/226/table2,133.34172,-46.03575,29690468
30110048,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,73.37514,-66.9245,30110048
30110048,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,73.37514,-66.9245,30110048
30135331,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.25531914893617,False,J/A+A/639/A81/table2 x tablea1,,,30135331
30268695,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.04357,-69.26064,30268695
30268695,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,74.04357,-69.26064,30268695
30317301,EV / rot / SLF,ELL,ELL|ROT|SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,74.28357,-68.42008,30317301
30317301,EB,ECL,ECL,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,74.28357,-68.42008,30317301
30317301,Ambiguous variability/EB/Pulsation,AMBIGUOUS,ECL|PULS,2022ApJ...924....2B (Barraza+ 2022),visual,,False,arXiv:2202.01022 Table 4,74.28357,-68.42008,30317301
30562668,Be=N (rejected/other); signals=,OTHER,OTHER,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,134.28156,-43.25616,30562668
30653985,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.9120458891013383,False,J/A+A/639/A81/table2 x tablea1,134.47757,-47.73769,30653985
30653985,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,134.47757,-47.73769,30653985
31181554,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,76.83509,-68.53571,31181554
31181554,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,76.83509,-68.53571,31181554
