TIC,class_gold,class_raw,class_is_inferred,class_reference,ra_deg,dec_deg,period_gold,period_n,period_spread,period_references,period_methods,n_products,n_sectors,has_light_curve,period_is_group,period_usable
1152358,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
4289780,AMBIGUOUS,Ambiguous variability,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
4373827,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
4491131,OTHER,sdB candidate (Bin+R (sdB+dM?sdB+WD)),False,2025ApJ...989..177C (Campelo+ 2025),,,0.223,1.0,1.0,2025ApJ...989..177C (Campelo+ 2025),visual,,,False,False,True
4827953,BE,Be=Y; signals=S/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),107.24486,-1.01579,,,,,,,,False,True,False
5051420,ROT,SLF+rot,False,2020A&A...639A..81B (Burssens+ 2020),,,1.397624039133473,1.0,1.0,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.0,4.0,True,False,True
5528993,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),155.49749,-18.0345,0.819672131147541,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
6110321,BE,Be=Y; signals=I/H/G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),112.255514,-8.548311,0.3623188405797102,1.0,1.0,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,,False,True,False
9346617,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
9375378,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
9376301,NOISY,Noisy,False,2025ApJ...989..177C (Campelo+ 2025),,,,,,,,,,False,False,False
10176636,BE,Be=Y; signals=G,False,2022AJ....163..226L (Labadie-Bartz+ 2022),110.394308,-5.897167,0.897938179994119,2.0,1.9664285714285714,2020A&A...639A..81B (Burssens+ 2020) | 2022AJ....163..226L (Labadie-Bartz+ 2022),visual | visual+spectroscopy,,,False,True,False
