TIC,Type,per_vsx,vsx_token,expected_class,vis_multi,vis_notes
4030832,BCEP,0.1867509,BCEP,,False,
11999540,DSCT|GDOR|SXPHE,2.58931,DSCT,DST,False,
12673900,E,1.91022,E,E,False,
13418870,E,12.3516,E,E,False,
14212879,E,1.23538,E,E,False,
14842608,E/GS,4.8126,E,E,False,quizas mal extraccion pero se ve el per
42244951,EB,4.2846028,EB,E,False,
55003265,E,1.66024,E,E,False,
55839455,BCEP,0.2106475,BCEP,,False,
56023695,EA,8.178,EA,E,False,mal phot pero good per
58830498,BCEP,0.117493,BCEP,,False,
60433558,EA+BCEP,10.79824,EA,E,True,
63970987,E,1.49142,E,E,False,
63971857,ELL,1.50873,ELL,ELL,False,
72285450,DCEPS,3.088,DCEPS,CEP,False,
76734245,DCEP,1.49512,DCEP,CEP,False,
78887878,EC|ESD,1.8542,EC,E,False,
81821733,E,4.93638,E,E,False,
81972427,VAR,1.80786,VAR,,False,maybe ELL
83138543,EB,6.107295,EB,E,False,
83624907,VAR,1.93684,VAR,,False,
84342725,EA+BCEP,2.6983845,EA,E,False,
86299451,EB,2.2541,EB,E,False,
87014767,EA,5.6866,EA,E,False,
87926550,EB/DM,1.95669202,EB,E,False,mala extraccion pero se ve el per
89593348,EA,12.072,EA,E,False,
89761288,EB/SD,6.5197162,EB,E,False,se ve el per pero rara
91701376,BCEP,0.84917,BCEP,,False,es ELL con este periodo
95624763,BCEP,0.1824448,BCEP,,False,
101706896,EB/KE:,1.621924,EB,E,False,
105517114,BCEP,0.22434,BCEP,,False,
106407886,EB,2.48599,EB,E,False,
112812656,BCEP,0.2073088,BCEP,,False,
114970688,EB:,4.0161,EB,E,False,
115730751,HB,8.8617,HB,,False,fuera de la taxonomia
116066367,E,1.48763,E,E,False,
116995588,E,1.47603,E,E,False,
119207375,PULS,0.8849,PULS,,False,
120801170,E,1.63527,E,E,False,
127977898,EA,2.69894,EA,E,False,
128565725,ELL,1.0189569,ELL,ELL,True,3 systems?
130212230,BCEP,0.145602,BCEP,,False,
136719100,CWB:,1.7659,CWB,CEP,True,
137276004,DSCT|GDOR|SXPHE,3.79129,DSCT,DST,False,
139600098,VAR,1.05876,VAR,,True,No entiendo esta curva
139783833,ESD,5.9844,ESD,E,False,
140091538,DCEP,5.516724,DCEP,CEP,False,
141292310,BCEP,0.220007,BCEP,,False,pocos puntos
141457686,DCEPS,4.6441,DCEPS,CEP,False,
141497319,ELL,2.80945,ELL,ELL,False,
145408079,DCEP,5.4647817,DCEP,CEP,False,
148660950,ESD,2.2496,ESD,E,False,
