TIC,sector,elegida,per_elegido,clase_elegida,nota
8301691,59,,,,multi periodico todo ninguno se ve con un claro periodo
11152077,58,,,,ninguno periodico
12675729,82,"c,d","1.439803,1.436135","Pulsating,Pulsating",bien
12921082,82,"a,b","1.770343,1.773100","ELL,ELL",bien
13284088,18,,,,ninguno periodico
13327889,81,,,,ninguno periodico
13785212,41,,,,multiperiodico
16187387,75,n,1.081812,ELL,periodico
24985783,66,d,3.766167,E,es el bueno
41903679,54,n,5.461610,ELL,periodico
71935430,58,n,,,periodico
89761288,55,a,6.444364,E,es el bueno
116065031,71,n,0.561411,Pulsating,periodico
137113608,75,n,1.018158,LPV,periodico
153304135,66,n,2.185055,Pulsating,periodico
169640678,41,,,,muy ruidoso quizas podria llegar a ser ELL el A
179305185,6,,,,multiperiodo
179639066,28,,,,no se ve el periodo
184072865,61,,,,no se ve el periodo
215697871,65,,,,no se ve el periodo claro
228247073,66,,,,no se ve el periodo claro
239306860,41,,,,no se ve el periodo claro
259108127,58,"a,b","5.328787,5.329947","E,E",correctos
269424199,78,,,,no se ve el periodo
269818126,57,b,3.361128,E,el correcto
313513149,65,,,,no se ve un periodo claro
315357177,57,,,,no se ve un periodo claro
316187504,56,a,1.273161,E,el correcto
316947536,83,,,,no se ve un periodo claro
331664814,11,,,,no se ve un periodo claro
339568213,12,a,5.791703,E,el correcto
362792232,41,a,4.451308,ELL,el correcto
365540007,77,,,,no se ve el periodo claro
384805438,58,,,,no se ve el periodo claro
384805438,59,,,,no se ve el periodo claro
391625084,63,,,,no se ve el periodo claro
400166377,72,a,2.220008,E,es el periodo bueno
405216722,61,a,2.571715,E,puede ser el bueno
421724301,83,,,,no periodo claro
436272344,65,,,,no periodo claro
461778225,62,,,,no periodo claro
464627129,64,,,,no periodo claro
466283988,10,,,,no periodo claro
466844157,64,,,,no periodo claro
467067108,64,,,,quizas A es el correcto
