TIC,types,per_ogle,verdict
149060456,rrlyr,0.6496795999999999,ok
275032047,dsct,0.12544853,ok
56409473,dsct,0.06032054,ok
78850814,dsct,0.10966954,ok
148357344,dsct,0.09009406,ok
272511271,dsct,0.16144935,ok
269750762,dsct,0.20125983,ok
412544513,dsct,0.06452836,ok
207318741,rrlyr,0.37536706,ok
430615564,dsct,0.09979888,ok
255456801,dsct,0.13479337,ok
321528595,dsct,0.17937204,ok
37315597,dsct,0.10109601,ok
448269095,dsct,0.10795615,ok
92017453,dsct,0.11336348,maybe
145372195,dsct,0.12903524,ok
181719523,rrlyr,0.82704894,bad
454859654,rrlyr,0.4154209,ok
85771680,rrlyr,0.55948167,ok
464401254,dsct,0.1199398,ok
81047196,dsct,0.18266706,maybe
123580083,dsct,0.13942018,ok
82893147,dsct,0.13131968,ok
234073331,cep,2.4838084,maybe
177932603,cep,3.2877666,ok
207042079,cep,5.0905386,bad
141134087,cep,7.5232584,bad
10826277,cep,4.175623799999999,ok
436530385,cep,3.8886104,bad
184535525,cep,7.2009836,bad
37169108,cep,4.7078199,ok
407704687,cep,4.8089404,bad
464936311,cep,5.101779799999999,maybe
460416931,cep,5.3192475,ok
