TIC,Type,per_vsx,label,vsx_token,expected_class,per_det,brf_class,period_match,grupo,vis_verdict,vis_shape,vis_notes,vis_date,vis_multi
6780465,MISC,729.0,0,MISC,,,,,FP_label0,,,,,
29945178,MISC,2197.0,0,MISC,,,,,FP_label0,,,,,
55743567,SRD,250.0,0,SRD,LPV,,,,FP_label0,,,,,
93323536,CWA,24.55,0,CWA,CEP,,,,FP_label0,,,,,
108882149,MISC,663.0,0,MISC,,,,,FP_label0,,,,,
138465692,EA,47.615,0,EA,E,,,,FP_label0,,,,,
144356247,MISC,699.0,0,MISC,,,,,FP_label0,,,,,
144632645,DCEP,13.6727,0,DCEP,CEP,,,,FP_label0,,,,,
149609517,MISC,491.0,0,MISC,,,,,FP_label0,,,,,
168627067,MISC,636.0,0,MISC,,,,,FP_label0,,,,,
178431738,EA,24.9285,0,EA,E,,,,FP_label0,,,,,
204634408,EA,30.811,0,EA,E,,,,FP_label0,,,,,
209640310,SRD,64.6,0,SRD,LPV,,,,FP_label0,,,,,
263573669,SPB,23.2,0,SPB,,,,,FP_label0,,,,,
269714696,EB,16.311,0,EB,E,,,,FP_label0,,,,,
272045538,E,18.163,0,E,E,,,,FP_label0,,,,,
279952371,SRD:,159.0,0,SRD,LPV,,,,FP_label0,,,,,
285243475,DCEP,15.69073,0,DCEP,CEP,,,,FP_label0,,,,,
303425964,ACYG:,17.03,0,ACYG,,,,,FP_label0,,,,,
307100246,MISC,80.98,0,MISC,,,,,FP_label0,,,,,
319571693,EA,16.420942,0,EA,E,,,,FP_label0,,,,,
328546890,HMXB,19.12,0,HMXB,,,,,FP_label0,,,,,
355590438,ACYG:,116.5,0,ACYG,,,,,FP_label0,,,,,
356024834,E,13.272,0,E,E,,,,FP_label0,,,,,
359438901,EA+ACYG,20.2812,0,EA,E,,,,FP_label0,,,,,
375539091,MISC,295.021881,0,MISC,,,,,FP_label0,,,,,
410336237,HMXB/XP+GCAS,155.0,0,HMXB,,,,,FP_label0,,,,,
425115568,MISC|LPV,2579.0,0,MISC,,,,,FP_label0,,,,,
425236256,MISC,468.0,0,MISC,,,,,FP_label0,,,,,
432729764,DPV/ELL,16.871,0,DPV,,,,,FP_label0,,,,,
438031537,MISC,198.678574,0,MISC,,,,,FP_label0,,,,,
443204265,EC,64.03527,0,EC,E,,,,FP_label0,,,,,
443262289,EA,13.4197,0,EA,E,,,,FP_label0,,,,,
450359616,MISC,153.4,0,MISC,,,,,FP_label0,,,,,
451932686,EA+BCEP,54.494,0,EA,E,,,,FP_label0,,,,,
458857427,EA,23.9438,0,EA,E,,,,FP_label0,,,,,
462093134,GCAS,152.0,0,GCAS,,,,,FP_label0,,,,,
465214833,HB,51.183,0,HB,,,,,FP_label0,,,,,
467640226,EA:,14.758,0,EA,E,,,,FP_label0,,,,,
2323229,BCEP,0.0294849,1,BCEP,,,,,acuerdo,,,,,
2856211,ROT,0.28,1,ROT,,,,,acuerdo,bad,,,2026-09-05,False
4030832,BCEP,0.1867509,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
7038369,BCEP,0.224256,1,BCEP,,,,,acuerdo,,,,,
8896127,EA,3.8671148,1,EA,E,,,,acuerdo,,,,,
10777186,BE,0.409789,1,BE,,,,,acuerdo,,,,,
10800647,EA,1.9699,1,EA,E,,,,acuerdo,,,,,
11114205,DSCT|GDOR|SXPHE,2.17252,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
11145365,EB,1.2966,1,EB,E,,,,acuerdo,,,,,
11480287,EB/SD,2.3168937,1,EB,E,,,,acuerdo,,,,,
11697773,BCEP,0.1644,1,BCEP,,,,,acuerdo,,,,,
11698190,BCEP,0.0221106,1,BCEP,,,,,acuerdo,bad,,"señal real, per_vsx incorrecto",2026-09-05,False
11793277,EA/DM,1.5070018,1,EA,E,,,,acuerdo,,,,,
11999540,DSCT|GDOR|SXPHE,2.58931,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
12642732,E,3.5438,1,E,E,,,,acuerdo,,,,,
12672792,EA/WR,4.212424,1,EA,E,,,,acuerdo,,,,,
12673900,E,1.91022,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
12675729,EA/DM,2.8808994,1,EA,E,,,,acuerdo,,,,,
12927862,DSCT|GDOR|SXPHE,0.0797892,1,DSCT,DST,,,,acuerdo,,,,,
13088285,ELL,3.6498,1,ELL,ELL,,,,acuerdo,,,,,
13332837,BCEP,0.1454654,1,BCEP,,,,,acuerdo,,,,,
13418870,E,12.3516,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
13973539,BCEP,0.285489,1,BCEP,,,,,acuerdo,,,,,
14209735,E,2.32216,1,E,E,,,,acuerdo,,,,,
14212879,E,1.23538,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
14312409,BCEP,0.14301,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,False
14842608,E/GS,4.8126,1,E,E,,,,acuerdo,ok,,quizas mal extraccion pero se ve el per,2026-09-05,False
15072015,EB/DM,8.76573,1,EB,E,,,,acuerdo,,,,,
15166556,BCEP,0.15215,1,BCEP,,,,,acuerdo,,,,,
15674477,E,1.30839,1,E,E,,,,acuerdo,,,,,
17450158,VAR,0.0376119,1,VAR,,,,,acuerdo,,,,,
21392414,DSCT|GDOR|SXPHE,5.4318,1,DSCT,DST,,,,acuerdo,,,,,
24658137,RRD,0.7112376,1,RRD,RR,,,,acuerdo,,,,,
24985783,EB,3.756045,1,EB,E,,,,acuerdo,,,,,
33678125,BCEP,0.0590356,1,BCEP,,,,,acuerdo,,,,,
40479710,GDOR,1.23198,1,GDOR,,,,,acuerdo,,,,,
40822942,ACV|EC|ESD,0.945548,1,ACV,,,,,acuerdo,,,,,
42244951,EB,4.2846028,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
42365645,EA+BCEP,1.50626,1,EA,E,,,,acuerdo,,,,,
